ts,appid,concurrent,peak_in_game,src
1787302325,3376990,10,,single
1787302326,2070550,4,,single
1787302328,2179170,4,,single
1787302329,1055540,33,,single
1787302331,1307580,40,,single
1787302332,1586800,10,,single
1787302333,1129190,110,,single
1787302335,1740300,1,,single
1787302336,1969080,2,,single
1787302338,1567800,21,,single
1787302339,1864950,61,,single
1787302340,2073910,11,,single
1787302342,1717770,2,,single
1787302343,2869860,11,,single
1787302345,2840190,0,,single
1787302346,2124380,0,,single
1787302347,3373660,279,,single
1787302349,1405500,11,,single
1787302350,2714620,5,,single
1787302352,623080,1,,single
1787302353,620,983,,single
1787302354,1089980,80,,single
1787302356,1118200,2621,,single
1787302357,413150,60198,,single
1787302359,400,285,,single
1787302360,1794680,2095,,single
1787302361,3164500,5131,,single
1787302363,2231450,183,,single
1787302364,1145360,2325,,single
1787302365,546560,134,,single
1787302367,374320,2737,,single
1787302368,2694490,12735,,single
1787302370,2246340,10589,,single
1787302371,1623730,125605,,single
1787302372,220,1240,,single
1787302374,420,31,,single
1787302375,3830,46,,single
1787302377,15710,4,,single
1787302378,31270,2,,single
1787302379,40800,53,,single
1787302381,200010,0,,single
1787302382,200710,193,,single
1787302384,204030,29,,single
1787302385,207690,9,,single
1787302386,208200,47,,single
1787302388,211420,69,,single
1787302389,214490,177,,single
1787302391,219680,0,,single
1787302392,219990,6849,,single
1787302394,226740,0,,single
1787302395,227000,1,,single
1787302396,236430,145,,single
1787302398,237740,0,,single
1787302399,238960,22300,,single
1787302400,239430,0,,single
1787302402,250600,1,,single
1787302403,251270,6,,single
1787302405,261530,0,,single
1787302406,264380,17,,single
1787302407,265210,4,,single
1787302409,265610,10,,single
1787302410,274270,0,,single
1787302412,274520,69,,single
1787302413,282140,55,,single
1787302414,303610,5,,single
1787302416,310360,50,,single
1787302417,315810,13,,single
1787302418,323470,17,,single
1787302420,324160,100,,single
1787302421,331870,2,,single
1787302423,333600,25,,single
1787302424,335300,1122,,single
1787302425,337340,6,,single
1787302427,339190,11,,single
1787302428,345180,10,,single
1787302430,351970,21,,single
1787302431,353330,1,,single
1787302432,359510,24,,single
1787302434,362890,411,,single
1787302435,367500,259,,single
1787302437,373770,1,,single
1787302438,384190,20,,single
1787302439,385800,17,,single
1787302441,399810,15,,single
1787302442,409660,0,,single
1787302443,418030,119,,single
