ts,appid,concurrent,peak_in_game,src
1787955252,3376990,9,,single
1787955253,2070550,6,,single
1787955255,2179170,8,,single
1787955256,1055540,36,,single
1787955257,1307580,33,,single
1787955259,1586800,13,,single
1787955260,1129190,125,,single
1787955261,1740300,12,,single
1787955263,1969080,2,,single
1787955264,1567800,3,,single
1787955266,1864950,69,,single
1787955267,2073910,24,,single
1787955268,1717770,3,,single
1787955270,2869860,22,,single
1787955271,2840190,3,,single
1787955273,2124380,7,,single
1787955274,3373660,490,,single
1787955276,1405500,1,,single
1787955277,2714620,9,,single
1787955279,623080,0,,single
1787955280,620,1623,,single
1787955281,1089980,198,,single
1787955283,1118200,4266,,single
1787955284,413150,40361,,single
1787955286,400,514,,single
1787955287,1794680,6656,,single
1787955288,3164500,12000,,single
1787955290,2231450,368,,single
1787955291,1145360,2988,,single
1787955293,546560,205,,single
1787955294,374320,3771,,single
1787955295,2694490,17748,,single
1787955297,2246340,9222,,single
1787955298,1623730,121243,,single
1787955299,220,1553,,single
1787955301,420,40,,single
1787955302,3830,112,,single
1787955304,15710,13,,single
1787955305,31270,4,,single
1787955306,40800,178,,single
1787955308,200010,2,,single
1787955309,200710,170,,single
1787955310,204030,52,,single
1787955312,207690,6,,single
1787955313,208200,91,,single
1787955315,209370,1,,single
1787955316,211420,158,,single
1787955318,214490,531,,single
1787955319,219680,0,,single
1787955321,219990,6458,,single
1787955322,226740,0,,single
1787955324,227000,2,,single
1787955325,236430,202,,single
1787955327,237740,2,,single
1787955329,238960,22606,,single
1787955330,239430,1,,single
1787955331,250600,0,,single
1787955333,251270,4,,single
1787955335,261530,0,,single
1787955336,264380,16,,single
1787955337,265210,14,,single
1787955339,265610,6,,single
1787955340,274270,1,,single
1787955341,274520,149,,single
1787955343,282140,212,,single
1787955344,303610,3,,single
1787955346,310360,31,,single
1787955347,315810,10,,single
1787955349,323320,4,,single
1787955350,323470,75,,single
1787955351,324160,48,,single
1787955353,331870,5,,single
1787955354,333600,31,,single
1787955356,335300,1743,,single
1787955357,337340,8,,single
1787955359,339190,11,,single
1787955360,345180,8,,single
1787955362,351970,32,,single
1787955363,353330,1,,single
1787955364,359510,70,,single
1787955366,362890,597,,single
1787955367,367500,401,,single
1787955369,373770,0,,single
1787955370,377330,0,,single
1787955371,384190,14,,single
1787955373,385240,1,,single
1787955374,385800,16,,single
1787955376,399810,29,,single
1787955377,409660,0,,single
1787955379,418030,194,,single
1787955380,418370,988,,single
1787955381,430960,1,,single
1787955383,449040,1,,single
1787955384,467380,1,,single
1787955385,477870,3,,single
1787955387,480490,360,,single
1787955388,483980,7,,single
1787955390,487430,1,,single
1787955391,501590,35,,single
1787955393,506870,4,,single
1787955394,508550,3,,single
1787955395,524910,6,,single
1787955397,526870,17148,,single
1787955398,527430,184,,single
1787955400,544330,8,,single
1787955401,550010,8,,single
1787955402,562360,188,,single
1787955404,563840,1,,single
1787955405,568770,15,,single
1787955407,570940,2414,,single
1787955408,580200,8,,single
1787955409,582010,6674,,single
1787955411,583470,15,,single
1787955412,593150,13,,single
1787955414,602700,2,,single
1787955415,635940,18,,single
1787955416,642090,2,,single
1787955418,654880,9,,single
1787955419,665370,7,,single
1787955421,674140,134,,single
1787955422,691450,1,,single
1787955424,711660,5,,single
1787955425,729660,2,,single
1787955426,736570,4,,single
1787955428,745920,122,,single
1787955429,751780,250,,single
1787955431,764790,28,,single
1787955432,768200,202,,single
1787955433,802880,15,,single
1787955435,814370,87,,single
1787955436,829280,5,,single
1787955438,851850,347,,single
1787955439,869760,0,,single
1787955440,892970,18119,,single
1787955442,894940,19,,single
1787955443,899440,41,,single
1787955445,899770,823,,single
1787955446,910630,2,,single
1787955448,913740,27,,single
1787955449,920320,0,,single
1787955451,924070,2,,single
1787955452,951000,0,,single
1787955454,951440,35,,single
1787955455,963000,4,,single
1787955457,969760,2,,single
1787955458,973230,87,,single
1787955460,976730,5147,,single
1787955461,983870,249,,single
1787955463,1001270,144,,single
1787955464,1012570,2,,single
1787955465,1018850,4,,single
1787955467,1040420,13,,single
1787955468,1047220,5,,single
1787955470,1062520,708,,single
1787955471,1067310,4,,single
1787955472,1067850,23,,single
1787955474,1079260,75,,single
1787955475,1082710,50,,single
1787955477,1083790,3,,single
1787955478,1092700,5,,single
1787955479,1092710,18,,single
1787955481,1092720,16,,single
1787955482,1116580,2,,single
1787955483,1119840,4,,single
1787955485,1140270,17,,single
1787955486,1145350,4151,,single
1787955488,1158160,1863,,single
1787955489,1159690,126,,single
1787955490,1169040,1382,,single
1787955492,1171320,0,,single
1787955493,1172450,6,,single
1787955495,1177980,77,,single
1787955496,1213700,20,,single
