ts,appid,concurrent,peak_in_game,src
1790414309,2070550,4,,single
1790414311,1055540,40,,single
1790414312,1586800,22,,single
1790414313,1740300,1,,single
1790414315,1567800,13,,single
1790414316,2073910,36,,single
1790414318,2869860,3,,single
1790414319,2124380,4,,single
1790414320,1405500,14,,single
1790414322,623080,0,,single
1790414323,1089980,75,,single
1790414325,413150,55255,,single
1790414326,1794680,3364,,single
1790414327,2231450,214,,single
1790414329,546560,420,,single
1790414330,2694490,36001,,single
1790414332,1623730,57970,,single
1790414333,420,31,,single
1790414335,15710,6,,single
1790414336,40800,50,,single
1790414337,200710,347,,single
1790414339,207690,4,,single
1790414340,209370,0,,single
1790414342,214490,214,,single
1790414343,219990,5411,,single
1790414345,227000,4,,single
1790414346,237740,0,,single
1790414348,239430,1,,single
1790414349,251270,0,,single
1790414351,264380,16,,single
1790414352,265610,21,,single
1790414354,274520,88,,single
1790414355,301860,1,,single
1790414357,310360,43,,single
1790414358,316720,0,,single
1790414359,323470,47,,single
1790414361,331870,1,,single
1790414362,335300,3668,,single
1790414364,339190,7,,single
1790414365,351970,19,,single
1790414366,359510,21,,single
1790414368,367500,432,,single
1790414369,377330,0,,single
1790414371,385240,1,,single
1790414372,399810,26,,single
1790414374,418030,587,,single
1790414375,430960,2,,single
1790414377,467380,3,,single
1790414378,480490,227,,single
1790414380,487430,2,,single
1790414381,506870,0,,single
1790414382,524910,13,,single
1790414384,527430,97,,single
1790414385,550010,5,,single
1790414387,563840,2,,single
1790414388,570940,3430,,single
1790414390,582010,21408,,single
1790414391,593150,4,,single
1790414393,635940,29,,single
1790414394,654880,6,,single
1790414396,674140,62,,single
1790414397,711660,14,,single
1790414399,736570,1,,single
1790414400,751780,482,,single
1790414401,768200,99,,single
1790414403,814370,118,,single
1790414404,851850,500,,single
1790414406,869760,0,,single
1790414407,894940,14,,single
1790414408,899770,1215,,single
1790414410,913740,19,,single
1790414412,924070,0,,single
1790414414,951440,15,,single
1790414415,969760,1,,single
1790414417,976730,2076,,single
1790414418,1001270,84,,single
1790414419,1018850,2,,single
1790414421,1047220,1,,single
1790414422,1067310,3,,single
1790414424,1079260,67,,single
1790414425,1083790,3,,single
1790414427,1092710,15,,single
1790414428,1116580,12,,single
1790414429,1140270,6,,single
1790414431,1158160,1516,,single
1790414432,1169040,1222,,single
1790414433,1172450,35,,single
1790414435,1213700,13,,single
1790414436,1230140,84,,single
1790414438,1240210,58,,single
1790414439,1245620,30166,,single
1790414441,1277400,238,,single
1790414442,1307550,105,,single
1790414443,1337010,40,,single
1790414445,1369340,6,,single
1790414446,1380420,9,,single
1790414448,1422380,0,,single
1790414449,1446780,10506,,single
1790414450,1488200,220,,single
1790414452,1518810,1,,single
1790414453,1566200,21,,single
1790414455,1597730,2,,single
1790414456,1614550,70,,single
1790414458,1654660,14,,single
1790414459,1665190,4,,single
1790414460,1730590,4,,single
1790414462,1763250,165,,single
1790414463,1808680,30,,single
1790414465,1866180,3,,single
1790414466,1919460,5,,single
1790414467,1928980,36,,single
1790414469,1945250,0,,single
1790414470,2001120,8227,,single
1790414472,2142790,4519,,single
1790414473,2240080,0,,single
1790414474,2250060,2,,single
1790414476,2262610,2,,single
1790414477,2294130,12,,single
1790414479,2354600,1,,single
1790414480,2356560,185,,single
1790414481,2450700,18,,single
1790414483,2484130,8,,single
1790414484,2567870,2450,,single
1790414486,2754380,270,,single
1790414487,2877540,8,,single
1790414488,3069120,38,,single
1790414490,3087650,3,,single
1790414491,3290710,3,,single
1790414493,70,566,,single
1790414494,500,362,,single
1790414495,2280,156,,single
1790414497,2600,40,,single
1790414498,3590,3226,,single
1790414499,4580,155,,single
1790414501,9420,577,,single
1790414502,13240,17,,single
1790414504,22330,318,,single
1790414505,22490,369,,single
1790414506,32470,1090,,single
1790414508,35140,473,,single
1790414509,48700,3903,,single
1790414511,72850,1130,,single
1790414512,107100,12,,single
1790414513,206190,2,,single
1790414515,214560,0,,single
1790414516,219740,1872,,single
1790414518,227300,31735,,single
1790414519,233860,4451,,single
1790414520,238460,99,,single
1790414522,239140,5728,,single
1790414523,242760,2867,,single
1790414525,246840,25,,single
1790414526,250900,55275,,single
1790414527,260750,15,,single
1790414529,264200,6,,single
1790414530,268910,1749,,single
1790414532,274190,211,,single
1790414533,284160,18754,,single
