ts,appid,concurrent,peak_in_game,src
1789770635,2070550,0,,single
1789770636,1055540,25,,single
1789770638,1586800,20,,single
1789770639,1740300,5,,single
1789770641,1567800,4,,single
1789770642,2073910,44,,single
1789770644,2869860,15,,single
1789770645,2124380,10,,single
1789770647,1405500,1,,single
1789770648,623080,2,,single
1789770649,1089980,99,,single
1789770651,413150,34802,,single
1789770652,1794680,3896,,single
1789770653,2231450,359,,single
1789770655,546560,441,,single
1789770656,2694490,46511,,single
1789770658,1623730,57676,,single
1789770659,420,34,,single
1789770660,15710,4,,single
1789770662,40800,96,,single
1789770663,200710,203,,single
1789770664,207690,6,,single
1789770666,209370,2,,single
1789770667,214490,326,,single
1789770669,219990,4612,,single
1789770670,227000,4,,single
1789770672,237740,1,,single
1789770673,239430,1,,single
1789770675,251270,5,,single
1789770676,264380,15,,single
1789770678,265610,47,,single
1789770679,274520,107,,single
1789770680,301860,3,,single
1789770682,310360,34,,single
1789770683,323320,5,,single
1789770685,324160,63,,single
1789770686,333600,50,,single
1789770688,337340,5,,single
1789770689,345180,8,,single
1789770691,353330,1,,single
1789770692,362890,541,,single
1789770694,373770,4,,single
1789770695,384190,7,,single
1789770697,385800,23,,single
1789770698,409660,0,,single
1789770699,418370,1362,,single
1789770701,449040,0,,single
1789770702,477870,3,,single
1789770703,483980,24,,single
1789770705,501590,26,,single
1789770706,508550,1,,single
1789770708,526870,13805,,single
1789770709,544330,1,,single
1789770710,562360,5,,single
1789770712,568770,8,,single
1789770713,580200,12,,single
1789770715,583470,16,,single
1789770716,602700,0,,single
1789770718,642090,5,,single
1789770719,665370,7,,single
1789770721,691450,7,,single
1789770722,729660,6,,single
1789770724,745920,103,,single
1789770725,764790,55,,single
1789770727,802880,20,,single
1789770728,829280,4,,single
1789770730,862440,0,,single
1789770731,892970,180716,,single
1789770733,899440,63,,single
1789770734,910630,2,,single
1789770735,920320,2,,single
1789770737,951000,0,,single
1789770738,963000,1,,single
1789770740,973230,43,,single
1789770741,983870,188,,single
1789770743,1012570,0,,single
1789770744,1040420,4,,single
1789770746,1062520,575,,single
1789770747,1067850,17,,single
1789770748,1082710,58,,single
1789770750,1092700,11,,single
1789770751,1092720,12,,single
1789770753,1119840,1,,single
1789770754,1145350,3414,,single
1789770756,1159690,256,,single
1789770757,1171320,2,,single
1789770758,1177980,80,,single
1789770760,1218210,66,,single
1789770761,1237320,229,,single
1789770763,1245560,114,,single
1789770764,1272840,3,,single
1789770766,1280930,47,,single
1789770767,1321440,201,,single
1789770768,1364960,7,,single
1789770770,1374490,21414,,single
1789770771,1382070,104,,single
1789770773,1441550,9,,single
1789770774,1477790,0,,single
1789770776,1516240,1,,single
1789770777,1549550,2,,single
1789770779,1587560,4,,single
1789770780,1599020,23,,single
1789770782,1629520,413,,single
1789770783,1658150,127,,single
1789770785,1709880,14,,single
1789770786,1733060,1,,single
1789770788,1772830,39,,single
1789770789,1819460,4,,single
1789770791,1895350,15,,single
1789770792,1924360,7,,single
1789770794,1944570,14,,single
1789770795,1948280,183,,single
1789770797,2007530,3,,single
1789770798,2238040,9,,single
1789770801,2246880,35,,single
1789770804,2256450,6,,single
1789770806,2276930,209,,single
1789770807,2313240,2,,single
1789770809,2356500,0,,single
1789770810,2415010,138,,single
1789770812,2479320,3,,single
1789770814,2525380,73,,single
1789770815,2637990,6,,single
1789770816,2788520,67,,single
1789770818,3027930,38,,single
1789770819,3069810,14,,single
1789770821,3263320,65,,single
1789770822,10,8125,,single
1789770824,240,2236,,single
1789770825,550,23471,,single
1789770827,2310,236,,single
1789770828,3480,190,,single
1789770829,4000,24482,,single
1789770831,6910,77,,single
1789770832,13230,35,,single
1789770834,22320,408,,single
1789770835,22380,3900,,single
1789770837,32440,237,,single
1789770838,33100,15,,single
1789770840,40970,426,,single
1789770841,70400,19,,single
1789770842,105600,27982,,single
1789770844,205100,523,,single
1789770845,207610,142,,single
1789770847,219150,279,,single
1789770848,223470,358,,single
1789770849,230290,345,,single
1789770851,236090,7,,single
1789770852,239030,321,,single
1789770853,242680,124,,single
1789770855,246420,148,,single
1789770856,250320,86,,single
1789770858,253230,255,,single
1789770859,261030,63,,single
1789770861,264710,2117,,single
1789770862,270880,7267,,single
1789770863,280220,159,,single
1789770865,288160,32,,single
1789770866,303590,3,,single
1789770868,312530,98,,single
1789770869,319630,383,,single
1789770870,341800,132,,single
1789770872,360740,24,,single
1789770873,367520,6219,,single
1789770875,407900,0,,single
1789770876,412830,118,,single
1789770877,418240,72,,single
1789770879,424280,15,,single
1789770880,427410,2664,,single
1789770882,433340,1290,,single
1789770883,434170,142,,single
1789770885,447530,30,,single
1789770886,457140,4491,,single
1789770888,466300,47,,single
1789770889,488860,135,,single
1789770890,508440,1470,,single
1789770892,519860,42,,single
1789770893,531510,96,,single
1789770895,548430,3947,,single
1789770896,557630,5,,single
1789770898,593280,35,,single
1789770899,597220,37,,single
1789770900,610370,88,,single
1789770902,615120,1,,single
1789770903,617670,7,,single
1789770904,646570,4276,,single
