ts,appid,concurrent,peak_in_game,src
1789251094,2070550,9,,single
1789251096,1055540,55,,single
1789251098,1586800,28,,single
1789251099,1740300,8,,single
1789251101,1567800,6,,single
1789251102,2073910,74,,single
1789251104,2869860,14,,single
1789251105,2124380,9,,single
1789251107,1405500,3,,single
1789251108,623080,2,,single
1789251110,1089980,152,,single
1789251111,413150,45284,,single
1789251113,1794680,5414,,single
1789251114,2231450,387,,single
1789251116,546560,253,,single
1789251117,2694490,78222,,single
1789251119,1623730,95805,,single
1789251120,420,53,,single
1789251122,15710,6,,single
1789251123,40800,106,,single
1789251125,200710,224,,single
1789251126,207690,5,,single
1789251128,209370,0,,single
1789251129,214490,418,,single
1789251130,219990,6963,,single
1789251132,227000,2,,single
1789251133,237740,0,,single
1789251135,239430,0,,single
1789251137,251270,12,,single
1789251138,264380,15,,single
1789251140,265610,21,,single
1789251141,274520,125,,single
1789251143,301860,1,,single
1789251144,310360,68,,single
1789251146,323320,2,,single
1789251147,324160,65,,single
1789251149,333600,33,,single
1789251150,337340,10,,single
1789251152,345180,8,,single
1789251153,353330,0,,single
1789251155,362890,719,,single
1789251156,373770,1,,single
1789251158,384190,9,,single
1789251159,385800,7,,single
1789251161,409660,0,,single
1789251162,418370,1590,,single
1789251164,449040,0,,single
1789251165,477870,1,,single
1789251167,483980,29,,single
1789251168,501590,22,,single
1789251170,508550,1,,single
1789251171,526870,18063,,single
1789251173,544330,4,,single
1789251174,562360,9,,single
1789251176,568770,12,,single
1789251177,580200,20,,single
1789251179,583470,21,,single
1789251180,602700,1,,single
1789251182,642090,5,,single
1789251184,665370,5,,single
1789251185,691450,5,,single
1789251187,729660,1,,single
1789251188,745920,121,,single
1789251190,764790,75,,single
1789251191,802880,25,,single
1789251192,829280,7,,single
1789251194,869760,0,,single
1789251195,894940,29,,single
1789251197,899770,820,,single
1789251199,913740,23,,single
1789251200,924070,2,,single
1789251202,951440,44,,single
1789251203,969760,4,,single
1789251204,976730,5220,,single
1789251206,1001270,161,,single
1789251207,1018850,6,,single
1789251209,1047220,1,,single
1789251210,1067310,3,,single
1789251212,1079260,69,,single
