ts,appid,concurrent,peak_in_game,src
1789379241,2070550,0,,single
1789379242,1055540,17,,single
1789379243,1586800,3,,single
1789379245,1740300,2,,single
1789379246,1567800,13,,single
1789379248,2073910,23,,single
1789379249,2869860,4,,single
1789379250,2124380,4,,single
1789379252,1405500,4,,single
1789379253,623080,3,,single
1789379255,1089980,51,,single
1789379256,413150,39524,,single
1789379257,1794680,3362,,single
1789379259,2231450,119,,single
1789379260,546560,128,,single
1789379262,2694490,48125,,single
1789379263,1623730,58540,,single
1789379264,420,20,,single
1789379266,15710,1,,single
1789379267,40800,38,,single
1789379269,200710,178,,single
1789379270,207690,6,,single
1789379271,209370,0,,single
1789379273,214490,143,,single
1789379274,219990,5307,,single
1789379276,227000,2,,single
1789379277,237740,2,,single
1789379279,239430,0,,single
1789379280,251270,5,,single
1789379282,264380,16,,single
1789379283,265610,6,,single
1789379284,274520,76,,single
1789379286,301860,3,,single
1789379287,310360,39,,single
1789379288,323320,3,,single
1789379290,324160,92,,single
1789379291,333600,28,,single
1789379292,337340,7,,single
1789379294,345180,5,,single
1789379295,353330,2,,single
1789379297,362890,322,,single
1789379298,373770,2,,single
1789379299,384190,12,,single
1789379301,385800,15,,single
1789379302,409660,0,,single
1789379304,418370,1205,,single
1789379305,449040,1,,single
1789379307,477870,0,,single
1789379308,483980,21,,single
1789379309,501590,20,,single
1789379311,508550,0,,single
1789379312,526870,8625,,single
1789379314,544330,3,,single
1789379315,562360,20,,single
1789379316,568770,7,,single
1789379318,580200,10,,single
1789379319,583470,5,,single
1789379321,602700,2,,single
1789379322,642090,4,,single
1789379323,665370,5,,single
1789379325,691450,3,,single
1789379326,729660,0,,single
1789379328,745920,63,,single
1789379329,764790,24,,single
1789379331,802880,28,,single
1789379332,829280,2,,single
1789379333,869760,1,,single
1789379335,894940,14,,single
1789379336,899770,604,,single
1789379338,913740,17,,single
1789379339,924070,1,,single
1789379340,951440,32,,single
1789379342,969760,2,,single
1789379344,976730,1641,,single
1789379345,1001270,45,,single
1789379347,1018850,4,,single
1789379348,1047220,2,,single
1789379349,1067310,0,,single
1789379351,1079260,36,,single
1789379352,1083790,0,,single
1789379354,1092710,12,,single
1789379355,1116580,22,,single
1789379357,1140270,9,,single
1789379358,1158160,1005,,single
1789379359,1169040,684,,single
1789379361,1172450,6,,single
1789379363,1213700,17,,single
1789379364,1230140,79,,single
1789379365,1240210,36,,single
1789379367,1245620,22721,,single
1789379368,1277400,165,,single
1789379370,1307550,101,,single
1789379371,1337010,10,,single
1789379372,1369340,8,,single
1789379374,1380420,17,,single
1789379375,1422380,0,,single
1789379377,1446780,6277,,single
1789379378,1488200,247,,single
1789379380,1518810,5,,single
1789379381,1566200,21,,single
1789379383,1597730,0,,single
1789379385,1614550,64,,single
1789379386,1654660,12,,single
1789379387,1665190,7,,single
1789379389,1730590,5,,single
1789379390,1763250,91,,single
1789379391,1808680,7,,single
1789379393,1866180,5,,single
1789379394,1919460,8,,single
1789379396,1928980,41,,single
1789379397,1945250,0,,single
1789379398,2001120,2235,,single
1789379400,2142790,5001,,single
1789379401,2240080,3,,single
1789379403,2250060,0,,single
1789379404,2262610,4,,single
1789379405,2294130,13,,single
1789379407,2354600,4,,single
1789379408,2356560,157,,single
1789379410,2450700,11,,single
1789379411,2484130,8,,single
1789379413,2567870,1471,,single
1789379415,2754380,183,,single
1789379416,2877540,7,,single
1789379418,3069120,46,,single
1789379419,3087650,3,,single
1789379421,3290710,1,,single
1789379422,70,409,,single
1789379424,500,241,,single
1789379425,2280,132,,single
1789379427,2600,58,,single
1789379428,3590,2584,,single
1789379430,4580,117,,single
1789379431,9420,420,,single
1789379432,13240,12,,single
1789379434,22330,294,,single
1789379435,22490,279,,single
1789379437,32470,839,,single
1789379438,35140,323,,single
1789379439,48700,2710,,single
1789379441,72850,897,,single
1789379442,107100,6,,single
1789379443,206190,4,,single
1789379445,214560,1,,single
1789379446,219740,1291,,single
1789379448,227300,17469,,single
1789379449,233860,3326,,single
1789379450,238460,57,,single
1789379452,239140,2268,,single
1789379453,242760,2163,,single
1789379454,246840,25,,single
1789379456,250900,45566,,single
1789379457,260750,12,,single
1789379458,264200,9,,single
1789379460,268910,1016,,single
1789379461,274190,150,,single
1789379462,284160,11587,,single
1789379464,294100,21523,,single
1789379465,304430,63,,single
1789379466,312990,11,,single
1789379468,337320,160,,single
1789379469,351640,2,,single
1789379471,362680,44,,single
1789379472,397740,5,,single
1789379473,411960,6,,single
1789379475,413410,1169,,single
1789379476,420530,48,,single
1789379477,425580,17,,single
1789379479,427520,11456,,single
1789379480,433950,2,,single
1789379482,439490,0,,single
1789379483,450540,88,,single
1789379484,460950,65,,single
1789379486,466630,4,,single
1789379487,504230,1226,,single
1789379488,512900,125,,single
1789379490,521200,5,,single
1789379491,541570,226,,single
1789379493,553310,15,,single
1789379494,588650,2900,,single
1789379495,597170,179,,single
1789379497,603960,9,,single
1789379498,611760,12,,single
1789379501,615610,1,,single
1789379502,636480,516,,single
1789379504,647960,175,,single
1789379505,668350,11,,single
1789379507,732690,12,,single
1789379508,745880,3,,single
1789379509,774181,72,,single
1789379511,787480,1011,,single
1789379512,799640,4,,single
1789379514,824600,1,,single
1789379515,851100,21,,single
1789379516,883710,2456,,single
1789379518,908520,128,,single
1789379519,914710,35,,single
1789379520,960090,6092,,single
1789379522,992310,0,,single
1789379523,1043340,17,,single
1789379525,1057090,509,,single
1789379526,1070550,4,,single
1789379527,1082430,13,,single
1789379529,1092790,790,,single
1789379530,1102190,143,,single
1789379531,1109410,0,,single
1789379533,1115050,2,,single
1789379534,1127400,637,,single
1789379536,1150690,209,,single
1789379537,1170880,2,,single
1789379538,1175140,0,,single
1789379540,1198320,1,,single
1789379541,1202540,17,,single
1789379543,1216200,11,,single
1789379544,1241700,1,,single
1789379546,1260520,24,,single
1789379547,1275670,20,,single
1789379548,1281800,49,,single
1789379550,1283130,1,,single
1789379551,1285670,5,,single
1789379553,1288310,26,,single
1789379554,1292940,126,,single
1789379555,1293860,1,,single
1789379557,1328840,49,,single
1789379558,1333910,32,,single
1789379560,1353230,29,,single
1789379561,1366540,2572,,single
1789379563,1388770,36,,single
1789379564,1407420,0,,single
1789379565,1419860,2,,single
1789379567,1424330,54,,single
1789379568,1444350,9,,single
1789379570,1473350,116,,single
1789379571,1507580,3,,single
1789379573,1511860,1,,single
1789379574,1532510,0,,single
1789379575,1536610,284,,single
1789379577,1545990,1,,single
1789379578,1562700,83,,single
1789379580,1566410,12,,single
1789379581,1585180,46,,single
1789379582,1609230,50,,single
1789379584,1634860,17,,single
1789379585,1644940,10,,single
1789379587,1669980,431,,single
1789379588,1677770,31,,single
1789379589,1684930,19,,single
1789379591,1708150,9,,single
1789379592,1715460,8,,single
1789379594,1718910,1,,single
1789379595,1734320,2,,single
1789379596,1765350,3,,single
1789379598,1796580,8,,single
1789379600,1817000,3,,single
1789379601,1836730,11,,single
1789379603,1876590,9,,single
1789379604,1898500,4,,single
1789379606,1903340,3014,,single
1789379607,1931020,1,,single
1789379608,1935660,2,,single
1789379610,1955830,30,,single
1789379611,1967430,81,,single
1789379613,1986840,14,,single
1789379614,1999360,63,,single
1789379615,2011780,1,,single
1789379617,2056220,8,,single
1789379618,2060590,8,,single
1789379620,2088570,105,,single
1789379621,2097570,37,,single
1789379622,2112520,0,,single
1789379624,2128270,34,,single
1789379626,2135690,0,,single
1789379627,2162800,1434,,single
1789379628,2179850,28,,single
1789379630,2218750,232,,single
1789379631,2291760,59,,single
1789379632,2305840,41,,single
1789379634,2358720,13918,,single
1789379635,2369900,49,,single
1789379636,2379780,5281,,single
1789379638,2394650,12,,single
1789379639,2420510,304,,single
1789379640,2443360,0,,single
1789379642,2501600,37,,single
1789379643,2532550,7,,single
1789379645,2585830,3,,single
1789379646,2612680,2,,single
1789379647,2660460,128,,single
1789379649,2667430,0,,single
1789379650,2703850,14,,single
1789379651,2719060,3,,single
1789379653,2763670,4,,single
1789379654,2835570,612,,single
1789379656,2878710,0,,single
1789379657,2883280,0,,single
1789379658,2929730,4,,single
1789379660,3068300,59,,single
1789379661,3084280,9,,single
1789379663,3108510,3,,single
1789379664,3191030,99,,single
1789379665,3195790,375,,single
1789379667,3247500,0,,single
1789379668,3361470,12,,single
1789379669,20,27,,single
1789379671,50,55,,single
1789379672,80,250,,single
1789379673,130,31,,single
1789379675,300,145,,single
1789379676,340,2,,single
