ts,appid,concurrent,peak_in_game,src
1788857353,2070550,0,,single
1788857354,1055540,21,,single
1788857356,1586800,9,,single
1788857357,1740300,3,,single
1788857359,1567800,9,,single
1788857360,2073910,13,,single
1788857361,2869860,9,,single
1788857363,2124380,4,,single
1788857365,1405500,9,,single
1788857366,623080,4,,single
1788857368,1089980,89,,single
1788857369,413150,41824,,single
1788857371,1794680,4041,,single
1788857372,2231450,124,,single
1788857373,546560,111,,single
1788857375,2694490,63104,,single
1788857376,1623730,72751,,single
1788857378,420,21,,single
1788857379,15710,2,,single
1788857380,40800,38,,single
1788857382,200710,172,,single
1788857383,207690,5,,single
1788857385,209370,1,,single
1788857386,214490,148,,single
1788857387,219990,5601,,single
1788857389,227000,0,,single
1788857390,237740,0,,single
1788857392,239430,0,,single
1788857393,251270,3,,single
1788857395,264380,12,,single
1788857396,265610,10,,single
1788857397,274520,80,,single
1788857399,303610,16,,single
1788857400,315810,9,,single
1788857402,323470,32,,single
1788857403,331870,1,,single
1788857404,335300,952,,single
1788857406,339190,40,,single
1788857407,351970,17,,single
1788857408,359510,33,,single
1788857410,367500,317,,single
1788857411,377330,0,,single
1788857413,385240,1,,single
1788857414,399810,30,,single
1788857416,418030,130,,single
1788857417,430960,5,,single
1788857419,467380,3,,single
1788857420,480490,198,,single
1788857422,487430,1,,single
1788857423,506870,0,,single
1788857425,524910,8,,single
1788857426,527430,79,,single
1788857427,550010,5,,single
1788857429,563840,0,,single
1788857430,570940,1300,,single
1788857431,582010,12080,,single
1788857433,593150,3,,single
1788857434,635940,39,,single
1788857436,654880,4,,single
1788857437,674140,55,,single
1788857439,711660,20,,single
1788857440,736570,1,,single
1788857441,751780,182,,single
1788857443,768200,262,,single
1788857444,814370,60,,single
1788857446,851850,251,,single
1788857447,892970,9500,,single
1788857448,899440,88,,single
1788857450,910630,1,,single
1788857451,920320,0,,single
1788857453,951000,0,,single
1788857454,963000,2,,single
1788857455,973230,40,,single
1788857457,983870,172,,single
1788857458,1012570,0,,single
1788857459,1040420,4,,single
1788857461,1062520,666,,single
1788857462,1067850,15,,single
1788857464,1082710,19,,single
1788857465,1092700,3,,single
1788857467,1092720,12,,single
1788857468,1119840,1,,single
1788857470,1145350,2297,,single
1788857471,1159690,190,,single
1788857472,1171320,0,,single
1788857474,1177980,40,,single
1788857475,1218210,75,,single
1788857476,1237320,108,,single
1788857478,1245560,87,,single
1788857479,1272840,6,,single
1788857481,1280930,84,,single
1788857482,1321440,81,,single
1788857483,1364960,15,,single
1788857485,1374490,1776,,single
1788857486,1382070,27,,single
1788857487,1446780,5193,,single
1788857489,1488200,297,,single
1788857490,1518810,23,,single
1788857492,1566200,16,,single
1788857493,1597730,8,,single
1788857495,1614550,54,,single
1788857496,1654660,8,,single
1788857497,1665190,3,,single
1788857499,1730590,6,,single
1788857500,1763250,104,,single
1788857502,1808680,14,,single
1788857503,1866180,9,,single
1788857510,1919460,14,,single
1788857511,1928980,45,,single
1788857512,1945250,0,,single
1788857514,2001120,2240,,single
1788857515,2142790,5988,,single
1788857517,2240080,2,,single
1788857518,2250060,1,,single
1788857520,2262610,0,,single
1788857521,2294130,6,,single
1788857523,2354600,5,,single
1788857524,2356560,97,,single
1788857526,2450700,8,,single
1788857527,2484130,8,,single
1788857528,2567870,2136,,single
1788857530,2754380,209,,single
1788857531,2877540,12,,single
1788857533,3069120,48,,single
