ts,appid,concurrent,peak_in_game,src
1790291415,3376990,11,,single
1790291417,2179170,0,,single
1790291418,1307580,47,,single
1790291420,1129190,105,,single
1790291422,1969080,8,,single
1790291423,1864950,18,,single
1790291425,1717770,2,,single
1790291426,2840190,2,,single
1790291428,3373660,467,,single
1790291429,2714620,1,,single
1790291431,620,1175,,single
1790291432,1118200,1483,,single
1790291433,400,372,,single
1790291435,3164500,10805,,single
1790291436,1145360,2003,,single
1790291437,374320,3002,,single
1790291439,2246340,17942,,single
1790291440,220,1115,,single
1790291442,3830,48,,single
1790291443,31270,2,,single
1790291444,200010,1,,single
1790291446,204030,37,,single
1790291447,208200,39,,single
1790291449,211420,124,,single
1790291450,219680,0,,single
1790291451,226740,0,,single
1790291453,236430,166,,single
1790291454,238960,5341,,single
1790291456,250600,0,,single
1790291457,261530,2,,single
1790291458,265210,5,,single
1790291460,274270,1,,single
1790291461,282140,75,,single
1790291463,303610,4,,single
1790291464,315810,8,,single
1790291465,323470,151,,single
1790291467,331870,3,,single
1790291468,335300,3576,,single
1790291470,339190,8,,single
1790291471,351970,13,,single
1790291473,359510,12,,single
1790291474,367500,460,,single
1790291476,377330,0,,single
1790291477,385240,0,,single
1790291478,399810,26,,single
1790291480,418030,515,,single
1790291481,430960,1,,single
1790291483,467380,2,,single
1790291484,480490,222,,single
1790291486,487430,0,,single
1790291487,506870,3,,single
1790291488,524910,4,,single
1790291490,527430,80,,single
1790291491,550010,9,,single
1790291493,563840,0,,single
1790291494,570940,2260,,single
1790291495,582010,7231,,single
1790291497,593150,6,,single
1790291498,635940,4,,single
1790291500,654880,11,,single
1790291501,674140,70,,single
1790291503,711660,3,,single
1790291504,736570,3,,single
1790291506,751780,432,,single
1790291507,768200,111,,single
1790291508,814370,92,,single
1790291510,851850,352,,single
1790291511,869760,0,,single
1790291513,894940,16,,single
1790291514,899770,780,,single
1790291515,913740,18,,single
1790291517,924070,1,,single
1790291518,951440,27,,single
1790291519,969760,0,,single
1790291521,976730,3359,,single
1790291522,1001270,68,,single
1790291523,1018850,5,,single
1790291525,1047220,1,,single
1790291526,1067310,1,,single
1790291527,1079260,20,,single
1790291529,1083790,2,,single
1790291530,1092710,11,,single
1790291532,1116580,6,,single
1790291534,1140270,8,,single
1790291535,1158160,1518,,single
1790291536,1169040,772,,single
1790291538,1172450,11,,single
1790291539,1213700,12,,single
1790291540,1230140,16,,single
1790291542,1240210,28,,single
1790291543,1245620,22103,,single
1790291545,1277400,132,,single
1790291546,1307550,73,,single
1790291547,1337010,17,,single
1790291549,1369340,5,,single
1790291550,1380420,15,,single
1790291551,1422380,0,,single
1790291553,1446780,3607,,single
1790291554,1488200,119,,single
1790291555,1518810,7,,single
1790291557,1566200,45,,single
1790291558,1597730,2,,single
1790291559,1614550,44,,single
1790291561,1654660,8,,single
1790291562,1665190,15,,single
1790291564,1730590,7,,single
1790291565,1763250,200,,single
1790291566,1808680,16,,single
1790291568,1866180,4,,single
1790291569,1919460,6,,single
1790291570,1928980,44,,single
1790291572,1945250,0,,single
1790291573,2001120,1451,,single
1790291575,2142790,6779,,single
1790291576,2240080,0,,single
1790291578,2250060,3,,single
1790291579,2262610,2,,single
1790291580,2294130,7,,single
1790291583,2354600,2,,single
1790291584,2356560,141,,single
1790291585,2450700,12,,single
1790291587,2484130,5,,single
1790291588,2567870,789,,single
1790291590,2754380,119,,single
1790291591,2877540,3,,single
1790291592,3069120,12,,single
1790291594,3087650,2,,single
1790291595,3290710,3,,single
1790291596,70,638,,single
1790291598,500,406,,single
1790291599,2280,201,,single
1790291600,2600,64,,single
1790291602,3590,1427,,single
1790291603,4580,146,,single
1790291604,9420,571,,single
1790291606,13240,16,,single
1790291607,22330,364,,single
1790291609,22490,158,,single
1790291610,32470,1369,,single
1790291611,35140,602,,single
1790291613,48700,1722,,single
1790291614,72850,1062,,single
1790291615,107100,15,,single
1790291617,206190,0,,single
