ts,appid,concurrent,peak_in_game,src
1788631326,3376990,14,,single
1788631327,2179170,4,,single
1788631329,1307580,42,,single
1788631330,1129190,157,,single
1788631332,1969080,2,,single
1788631333,1864950,71,,single
1788631335,1717770,3,,single
1788631337,2840190,9,,single
1788631338,3373660,447,,single
1788631340,2714620,8,,single
1788631341,620,2677,,single
1788631343,1118200,5857,,single
1788631344,400,779,,single
1788631345,3164500,12399,,single
1788631347,1145360,3690,,single
1788631348,374320,4955,,single
1788631350,2246340,23154,,single
1788631351,220,2187,,single
1788631353,3830,97,,single
1788631354,31270,5,,single
1788631356,200010,5,,single
1788631357,204030,51,,single
1788631359,208200,90,,single
1788631360,211420,182,,single
1788631362,219680,0,,single
1788631363,226740,0,,single
1788631365,236430,269,,single
1788631366,238960,15258,,single
1788631368,250600,1,,single
1788631369,261530,1,,single
1788631371,265210,12,,single
1788631372,274270,1,,single
1788631374,282140,250,,single
1788631375,310360,78,,single
1788631376,323320,5,,single
1788631378,324160,135,,single
1788631379,333600,31,,single
1788631381,337340,17,,single
1788631382,345180,18,,single
1788631384,353330,2,,single
1788631385,362890,839,,single
1788631387,373770,3,,single
1788631388,384190,19,,single
1788631390,385800,17,,single
1788631391,409660,1,,single
1788631393,418370,1284,,single
1788631394,449040,1,,single
1788631396,477870,9,,single
1788631397,483980,10,,single
1788631399,501590,41,,single
1788631400,508550,1,,single
1788631402,526870,21742,,single
1788631403,544330,5,,single
1788631405,562360,34,,single
1788631406,568770,15,,single
1788631407,580200,5,,single
1788631409,583470,18,,single
1788631411,602700,4,,single
1788631412,642090,2,,single
1788631414,665370,6,,single
1788631415,691450,5,,single
1788631417,729660,4,,single
1788631418,745920,140,,single
1788631420,764790,115,,single
1788631421,802880,29,,single
1788631423,829280,7,,single
1788631424,869760,0,,single
1788631426,894940,17,,single
1788631427,899770,1082,,single
1788631429,913740,25,,single
1788631430,924070,1,,single
1788631432,951440,58,,single
1788631433,969760,4,,single
1788631435,976730,4634,,single
1788631436,1001270,188,,single
1788631438,1018850,3,,single
1788631439,1047220,2,,single
1788631440,1067310,5,,single
1788631442,1079260,94,,single
1788631443,1083790,1,,single
1788631445,1092710,32,,single
1788631446,1116580,9,,single
1788631448,1140270,15,,single
1788631449,1158160,2610,,single
1788631451,1169040,1706,,single
1788631452,1172450,12,,single
1788631454,1213700,35,,single
1788631456,1230140,69,,single
1788631457,1240210,54,,single
1788631458,1245620,46338,,single
1788631460,1277400,151,,single
1788631461,1307550,189,,single
1788631463,1337010,27,,single
1788631465,1369340,14,,single
1788631466,1380420,17,,single
1788631468,1441550,9,,single
1788631469,1477790,2,,single
1788631471,1516240,3,,single
1788631472,1549550,1,,single
1788631474,1587560,1,,single
1788631475,1599020,16,,single
1788631477,1629520,353,,single
1788631478,1658150,237,,single
1788631480,1709880,60,,single
1788631481,1733060,5,,single
1788631483,1772830,17,,single
1788631485,1819460,8,,single
1788631486,1895350,26,,single
1788631487,1924360,12,,single
