ts,appid,concurrent,peak_in_game,src
1788238723,3376990,5,,single
1788238724,2179170,6,,single
1788238726,1307580,27,,single
1788238727,1129190,122,,single
1788238729,1969080,1,,single
1788238730,1864950,51,,single
1788238731,1717770,1,,single
1788238733,2840190,1,,single
1788238734,3373660,344,,single
1788238736,2714620,7,,single
1788238737,620,1019,,single
1788238739,1118200,1840,,single
1788238740,400,278,,single
1788238741,3164500,8046,,single
1788238743,1145360,2277,,single
1788238744,374320,2788,,single
1788238745,2246340,9745,,single
1788238747,220,781,,single
1788238748,3830,65,,single
1788238750,31270,3,,single
1788238751,200010,2,,single
1788238752,204030,27,,single
1788238754,208200,38,,single
1788238755,211420,96,,single
1788238757,219680,0,,single
1788238758,226740,1,,single
1788238759,236430,98,,single
1788238761,238960,10648,,single
1788238762,250600,2,,single
1788238764,261530,3,,single
1788238765,265210,3,,single
1788238766,274270,1,,single
1788238768,282140,114,,single
1788238769,310360,39,,single
1788238771,323320,3,,single
1788238772,324160,75,,single
1788238773,333600,26,,single
1788238775,337340,4,,single
1788238776,345180,5,,single
1788238778,353330,2,,single
1788238779,362890,292,,single
1788238780,373770,1,,single
1788238782,384190,6,,single
1788238783,385800,19,,single
1788238785,409660,0,,single
1788238786,418370,733,,single
1788238788,449040,1,,single
1788238789,477870,4,,single
1788238791,483980,9,,single
1788238792,501590,24,,single
1788238794,508550,4,,single
1788238795,526870,9252,,single
1788238796,544330,3,,single
1788238798,562360,17,,single
1788238799,568770,7,,single
1788238801,580200,3,,single
1788238803,583470,10,,single
1788238804,602700,1,,single
1788238806,642090,2,,single
1788238807,665370,5,,single
1788238809,691450,2,,single
1788238810,729660,1,,single
1788238811,745920,64,,single
1788238813,764790,77,,single
1788238814,802880,36,,single
1788238816,829280,0,,single
1788238817,869760,1,,single
1788238819,894940,6,,single
1788238820,899770,654,,single
1788238822,913740,31,,single
1788238823,924070,2,,single
1788238824,951440,23,,single
1788238826,969760,1,,single
1788238827,976730,4337,,single
1788238829,1001270,48,,single
1788238830,1018850,3,,single
1788238832,1047220,1,,single
1788238833,1067310,3,,single
1788238834,1079260,19,,single
1788238836,1083790,2,,single
1788238837,1092710,8,,single
1788238839,1116580,1,,single
1788238840,1140270,14,,single
1788238841,1158160,1400,,single
1788238843,1169040,1018,,single
1788238844,1172450,8,,single
1788238846,1213700,11,,single
1788238847,1230140,95,,single
1788238849,1240210,27,,single
1788238850,1245620,25371,,single
1788238851,1277400,101,,single
1788238853,1307550,70,,single
1788238854,1337010,11,,single
1788238856,1369340,6,,single
1788238857,1380420,7,,single
1788238859,1441550,2,,single
1788238860,1477790,1,,single
1788238861,1516240,3,,single
1788238863,1549550,0,,single
1788238864,1587560,1,,single
1788238866,1599020,5,,single
1788238867,1629520,254,,single
1788238869,1658150,171,,single
1788238871,1709880,48,,single
1788238872,1733060,1,,single
1788238874,1772830,4,,single
1788238875,1819460,9,,single
1788238877,1895350,20,,single
1788238878,1924360,5,,single
1788238879,1944570,13,,single
1788238881,1948280,536,,single
1788238882,2007530,1,,single
1788238884,2238040,6,,single
1788238885,2246880,14,,single
1788238887,2256450,1,,single
1788238888,2276930,239,,single
1788238890,2313240,1,,single
1788238891,2356500,0,,single
1788238893,2415010,166,,single
1788238894,2479320,2,,single
1788238896,2525380,41,,single
1788238897,2637990,5,,single
1788238899,2788520,16,,single
1788238900,3027930,15,,single
1788238901,3069810,4,,single
1788238904,3263320,17,,single
1788238905,10,4692,,single
1788238906,240,1268,,single
1788238908,550,23870,,single
1788238909,2310,178,,single
1788238910,3480,160,,single
1788238913,4000,12495,,single
1788238915,6910,36,,single
1788238916,13230,15,,single
1788238918,22320,328,,single
1788238919,22380,3453,,single
1788238920,32440,108,,single
1788238922,33100,15,,single
1788238923,40970,267,,single
1788238925,70400,11,,single
1788238926,105600,35288,,single
1788238927,205100,469,,single
1788238929,207610,163,,single
1788238930,219150,165,,single
1788238931,223470,283,,single
