ts,appid,concurrent,peak_in_game,src
1789792269,2070550,3,,single
1789792270,1055540,39,,single
1789792272,1586800,25,,single
1789792273,1740300,5,,single
1789792275,1567800,12,,single
1789792276,2073910,38,,single
1789792278,2869860,13,,single
1789792279,2124380,8,,single
1789792280,1405500,9,,single
1789792282,623080,8,,single
1789792284,1089980,90,,single
1789792285,413150,49081,,single
1789792287,1794680,4099,,single
1789792288,2231450,278,,single
1789792289,546560,316,,single
1789792291,2694490,35694,,single
1789792292,1623730,70109,,single
1789792294,420,29,,single
1789792295,15710,1,,single
1789792296,40800,58,,single
1789792298,200710,267,,single
1789792299,207690,4,,single
1789792301,209370,0,,single
1789792302,214490,236,,single
1789792304,219990,5521,,single
1789792305,227000,2,,single
1789792307,237740,1,,single
1789792308,239430,0,,single
1789792310,251270,6,,single
1789792311,264380,14,,single
1789792313,265610,37,,single
1789792314,274520,106,,single
1789792316,301860,0,,single
1789792317,310360,46,,single
1789792318,323320,5,,single
1789792320,324160,86,,single
1789792321,333600,59,,single
1789792323,337340,5,,single
1789792324,345180,1,,single
1789792326,353330,0,,single
1789792327,362890,441,,single
1789792329,373770,9,,single
1789792330,384190,7,,single
1789792332,385800,23,,single
1789792333,409660,0,,single
1789792334,418370,1719,,single
1789792336,449040,1,,single
1789792337,477870,4,,single
1789792339,483980,24,,single
1789792340,501590,40,,single
1789792342,508550,3,,single
1789792343,526870,10180,,single
1789792345,544330,5,,single
1789792346,562360,6,,single
1789792348,568770,5,,single
1789792349,580200,9,,single
1789792350,583470,13,,single
1789792352,602700,1,,single
1789792353,642090,5,,single
1789792355,665370,1,,single
1789792356,691450,3,,single
1789792358,729660,6,,single
1789792359,745920,63,,single
1789792361,764790,39,,single
1789792362,802880,26,,single
1789792364,829280,2,,single
1789792365,862440,0,,single
1789792366,892970,144699,,single
1789792368,899440,115,,single
1789792369,910630,4,,single
1789792371,920320,1,,single
1789792372,951000,1,,single
1789792374,963000,0,,single
1789792375,973230,36,,single
1789792376,983870,148,,single
1789792378,1012570,0,,single
1789792379,1040420,12,,single
1789792381,1062520,641,,single
1789792382,1067850,15,,single
1789792384,1082710,57,,single
1789792386,1092700,5,,single
1789792387,1092720,13,,single
1789792388,1119840,2,,single
1789792390,1145350,3264,,single
1789792391,1159690,137,,single
1789792393,1171320,1,,single
1789792394,1177980,58,,single
1789792396,1218210,59,,single
1789792397,1237320,180,,single
1789792399,1245560,77,,single
1789792400,1272840,1,,single
1789792401,1280930,141,,single
1789792403,1321440,224,,single
1789792404,1364960,5,,single
1789792406,1374490,21903,,single
1789792407,1382070,104,,single
1789792409,1441550,4,,single
1789792410,1477790,0,,single
1789792412,1516240,0,,single
1789792413,1549550,1,,single
1789792415,1587560,0,,single
1789792417,1599020,25,,single
1789792418,1629520,485,,single
1789792419,1658150,101,,single
1789792421,1709880,11,,single
1789792422,1733060,2,,single
1789792424,1772830,43,,single
1789792425,1819460,5,,single
1789792427,1895350,24,,single
1789792428,1924360,5,,single
1789792430,1944570,19,,single
1789792431,1948280,286,,single
1789792433,2007530,1,,single
1789792434,2238040,4,,single
1789792436,2246880,21,,single
1789792437,2256450,2,,single
1789792439,2276930,208,,single
1789792440,2313240,0,,single
1789792442,2356500,0,,single
1789792443,2415010,156,,single
1789792445,2479320,3,,single
1789792446,2525380,47,,single
1789792448,2637990,5,,single
1789792449,2788520,50,,single
1789792451,3027930,46,,single
1789792452,3069810,28,,single
1789792454,3263320,54,,single
1789792455,10,5959,,single
1789792457,240,1607,,single
1789792458,550,36522,,single
1789792460,2310,169,,single
1789792461,3480,176,,single
1789792463,4000,19566,,single
1789792464,6910,59,,single
1789792465,13230,26,,single
1789792467,22320,349,,single
1789792468,22380,3448,,single
1789792470,32440,180,,single
1789792471,33100,19,,single
1789792473,40970,328,,single
1789792474,70400,21,,single
1789792476,105600,36666,,single
1789792477,205100,435,,single
1789792479,207610,120,,single
1789792480,219150,208,,single
1789792481,223470,303,,single
1789792483,230290,301,,single
1789792484,236090,8,,single
1789792486,239030,247,,single
1789792487,242680,124,,single
1789792489,246420,294,,single
1789792490,250320,65,,single
1789792492,253230,204,,single
1789792493,261030,42,,single
1789792494,264710,2077,,single
1789792496,270880,6894,,single
1789792497,280220,119,,single
1789792499,288160,29,,single
1789792500,303590,4,,single
1789792502,312530,156,,single
1789792503,319630,278,,single
1789792505,341800,135,,single
1789792506,360740,21,,single
1789792508,367520,6971,,single
1789792509,407900,0,,single
1789792511,412830,228,,single
1789792512,418240,103,,single
1789792514,424280,6,,single
1789792515,427410,2844,,single
1789792517,433340,1245,,single
1789792518,434170,335,,single
1789792520,447530,66,,single
1789792521,457140,7406,,single
1789792522,466300,51,,single
1789792524,488860,152,,single
1789792525,508440,1760,,single
1789792528,519860,41,,single
1789792530,531510,66,,single
1789792531,548430,4414,,single
1789792533,557630,6,,single
1789792534,593280,21,,single
1789792536,597220,40,,single
1789792537,610370,98,,single
1789792539,615120,3,,single
1789792540,617670,13,,single
1789792542,646570,8912,,single
1789792543,667970,168,,single
1789792545,683320,46,,single
1789792546,736260,164,,single
1789792548,760890,3,,single
1789792549,774801,663,,single
1789792550,791470,15,,single
1789792552,805590,0,,single
1789792553,850190,190,,single
1789792555,858210,132,,single
1789792556,897330,377,,single
1789792558,909080,137,,single
1789792559,926990,398,,single
1789792561,990630,237,,single
1789792562,1040200,765,,single
1789792564,1043810,39,,single
1789792565,1059990,43,,single
1789792567,1070710,3,,single
1789792568,1092590,2,,single
1789792569,1093910,12,,single
1789792571,1104380,0,,single
1789792572,1113000,1205,,single
1789792574,1123450,7,,single
1789792575,1127500,343,,single
1789792577,1162750,462,,single
1789792578,1171370,2,,single
1789792580,1178030,0,,single
1789792581,1201280,0,,single
1789792583,1211020,599,,single
1789792584,1229490,2536,,single
1789792585,1255650,2,,single
1789792587,1269640,5,,single
1789792588,1275890,70,,single
1789792590,1282200,0,,single
1789792591,1284190,3740,,single
1789792593,1286710,15,,single
1789792594,1290000,1082,,single
1789792596,1293180,16,,single
1789792597,1304680,14,,single
1789792598,1332010,336,,single
1789792600,1349060,2,,single
1789792601,1361320,23,,single
1789792603,1369320,75,,single
1789792604,1390350,15,,single
1789792606,1411910,47,,single
1789792607,1422650,4,,single
1789792609,1428310,0,,single
1789792610,1469280,4,,single
1789792611,1500740,9,,single
1789792613,1507970,2,,single
1789792614,1520370,168,,single
1789792616,1533420,132,,single
1789792617,1540570,29,,single
1789792619,1546570,71,,single
1789792620,1564790,3,,single
1789792622,1584090,432,,single
1789792623,1593500,1545,,single
1789792625,1628610,9,,single
1789792626,1639790,2,,single
1789792628,1668190,0,,single
1789792629,1671210,4148,,single
1789792631,1683150,416,,single
1789792632,1686940,281,,single
1789792634,1710100,2,,single
1789792635,1718570,920,,single
