ts,appid,concurrent,peak_in_game,src
1790002990,3376990,28,,single
1790002992,2179170,4,,single
1790002993,1307580,116,,single
1790002995,1129190,112,,single
1790002996,1969080,15,,single
1790002998,1864950,21,,single
1790002999,1717770,3,,single
1790003000,2840190,1,,single
1790003002,3373660,477,,single
1790003003,2714620,6,,single
1790003005,620,1580,,single
1790003006,1118200,3833,,single
1790003007,400,448,,single
1790003009,3164500,9106,,single
1790003010,1145360,3349,,single
1790003012,374320,4539,,single
1790003013,2246340,56017,,single
1790003014,220,1555,,single
1790003016,3830,47,,single
1790003017,31270,3,,single
1790003019,200010,0,,single
1790003020,204030,40,,single
1790003021,208200,78,,single
1790003023,211420,103,,single
1790003024,219680,0,,single
1790003026,226740,0,,single
1790003027,236430,174,,single
1790003028,238960,7583,,single
1790003030,250600,3,,single
1790003031,261530,3,,single
1790003033,265210,2,,single
1790003034,274270,0,,single
1790003035,282140,94,,single
1790003037,303610,8,,single
1790003038,315810,19,,single
1790003040,323470,76,,single
1790003041,331870,2,,single
1790003042,335300,1610,,single
1790003044,339190,6,,single
1790003046,351970,25,,single
1790003047,359510,19,,single
1790003048,367500,620,,single
1790003050,377330,0,,single
1790003051,385240,1,,single
1790003053,399810,36,,single
1790003054,418030,590,,single
1790003056,430960,4,,single
1790003057,467380,1,,single
1790003059,480490,278,,single
1790003060,487430,3,,single
1790003062,506870,3,,single
1790003063,524910,9,,single
1790003064,527430,124,,single
1790003066,550010,10,,single
1790003068,563840,1,,single
1790003069,570940,2313,,single
1790003070,582010,30390,,single
1790003072,593150,6,,single
1790003073,635940,60,,single
1790003075,654880,5,,single
1790003076,674140,45,,single
1790003077,711660,13,,single
1790003079,736570,6,,single
1790003080,751780,755,,single
1790003082,768200,209,,single
1790003083,814370,152,,single
1790003084,851850,510,,single
1790003086,869760,1,,single
1790003087,894940,18,,single
1790003088,899770,952,,single
1790003090,913740,19,,single
1790003091,924070,1,,single
1790003092,951440,44,,single
1790003094,969760,3,,single
1790003095,976730,1886,,single
1790003097,1001270,98,,single
1790003098,1018850,2,,single
1790003099,1047220,2,,single
1790003101,1067310,3,,single
1790003103,1079260,79,,single
1790003104,1083790,5,,single
1790003105,1092710,24,,single
1790003107,1116580,11,,single
1790003108,1140270,6,,single
1790003110,1158160,2065,,single
1790003111,1169040,1296,,single
1790003112,1172450,29,,single
1790003114,1213700,21,,single
1790003115,1230140,110,,single
1790003117,1240210,53,,single
1790003118,1245620,38404,,single
1790003119,1277400,270,,single
1790003121,1307550,152,,single
1790003122,1337010,17,,single
1790003124,1369340,12,,single
1790003125,1380420,28,,single
1790003127,1422380,0,,single
1790003128,1446780,16436,,single
1790003130,1488200,296,,single
1790003131,1518810,5,,single
1790003132,1566200,19,,single
1790003134,1597730,4,,single
1790003135,1614550,66,,single
1790003137,1654660,10,,single
1790003138,1665190,3,,single
1790003139,1730590,5,,single
1790003141,1763250,212,,single
1790003142,1808680,40,,single
1790003143,1866180,8,,single
1790003145,1919460,15,,single
1790003146,1928980,44,,single
1790003148,1945250,1,,single
1790003149,2001120,8593,,single
1790003151,2142790,6647,,single
1790003152,2240080,3,,single
1790003153,2250060,2,,single
1790003155,2262610,3,,single
1790003158,2294130,5,,single
1790003159,2354600,0,,single
1790003161,2356560,310,,single
1790003162,2450700,19,,single
1790003163,2484130,11,,single
1790003165,2567870,4433,,single
1790003166,2754380,261,,single
1790003168,2877540,5,,single
1790003169,3069120,60,,single
1790003171,3087650,5,,single
1790003172,3290710,4,,single
1790003174,70,659,,single
1790003175,500,393,,single
1790003176,2280,212,,single
1790003178,2600,77,,single
1790003179,3590,3158,,single
1790003181,4580,182,,single
1790003182,9420,643,,single
1790003183,13240,18,,single
1790003185,22330,377,,single
1790003186,22490,482,,single
1790003187,32470,1201,,single
1790003189,35140,545,,single
1790003190,48700,4329,,single
1790003191,72850,1407,,single
1790003193,107100,7,,single
1790003194,206190,3,,single
1790003195,214560,0,,single
1790003197,219740,1828,,single
1790003198,227300,36039,,single
1790003200,233860,5356,,single
1790003201,238460,79,,single
1790003202,239140,6794,,single
1790003204,242760,4165,,single
1790003205,246840,41,,single
1790003207,250900,75962,,single
1790003208,260750,14,,single
1790003210,264200,4,,single
1790003211,268910,2023,,single
1790003213,274190,222,,single
1790003214,284160,20641,,single
1790003215,294100,33272,,single
1790003217,304430,97,,single
1790003218,312990,11,,single
1790003219,337320,599,,single
1790003221,351640,3,,single
1790003223,362680,94,,single
1790003224,397740,9,,single
1790003226,411960,3,,single
1790003227,413410,1577,,single
1790003228,420530,159,,single
1790003230,425580,32,,single
1790003231,427520,17467,,single
1790003233,433950,1,,single
1790003234,439490,3,,single
1790003235,450540,153,,single
1790003237,460950,98,,single
1790003238,466630,4,,single
1790003240,504230,2225,,single
1790003241,512900,722,,single
1790003242,521200,18,,single
1790003244,541570,374,,single
1790003245,553310,19,,single
1790003246,588650,5277,,single
1790003248,597170,248,,single
1790003249,603960,13,,single
1790003251,611760,13,,single
1790003252,615610,1,,single
1790003254,636480,739,,single
1790003255,647960,290,,single
1790003256,668350,23,,single
1790003258,732690,39,,single
1790003259,745880,6,,single
1790003261,774181,116,,single
1790003262,787480,1848,,single
1790003264,799640,8,,single
1790003265,824600,21,,single
1790003267,851100,43,,single
1790003268,883710,5195,,single
1790003269,908520,200,,single
1790003271,914710,49,,single
1790003272,960090,7586,,single
1790003274,992310,1,,single
1790003275,1043340,21,,single
1790003277,1057090,845,,single
1790003278,1070550,4,,single
1790003279,1082430,19,,single
1790003281,1092790,1158,,single
1790003282,1102190,277,,single
1790003284,1109410,0,,single
1790003285,1115050,1,,single
1790003287,1127400,1114,,single
1790003288,1150690,411,,single
1790003289,1170880,2,,single
1790003291,1175140,0,,single
1790003292,1198320,3,,single
1790003293,1202540,24,,single
1790003295,1216200,11,,single
1790003296,1241700,3,,single
1790003298,1260520,46,,single
1790003299,1275670,40,,single
1790003300,1281800,63,,single
1790003302,1283130,1,,single
1790003303,1285670,8,,single
1790003304,1288310,38,,single
1790003306,1292940,176,,single
1790003307,1293860,0,,single
1790003310,1328840,40,,single
1790003312,1333910,21,,single
