ts,appid,concurrent,peak_in_game,src
1789153467,2070550,6,,single
1789153468,1055540,39,,single
1789153470,1586800,16,,single
1789153472,1740300,6,,single
1789153473,1567800,8,,single
1789153474,2073910,39,,single
1789153476,2869860,17,,single
1789153478,2124380,5,,single
1789153479,1405500,3,,single
1789153481,623080,3,,single
1789153483,1089980,124,,single
1789153484,413150,44577,,single
1789153486,1794680,5286,,single
1789153487,2231450,283,,single
1789153489,546560,287,,single
1789153490,2694490,91334,,single
1789153491,1623730,90512,,single
1789153493,420,55,,single
1789153494,15710,4,,single
1789153496,40800,127,,single
1789153497,200710,207,,single
1789153499,207690,9,,single
1789153500,209370,0,,single
1789153502,214490,394,,single
1789153503,219990,7566,,single
1789153505,227000,1,,single
1789153506,237740,0,,single
1789153508,239430,1,,single
1789153509,251270,13,,single
1789153511,264380,16,,single
1789153512,265610,9,,single
1789153514,274520,138,,single
1789153515,301860,3,,single
1789153517,310360,62,,single
1789153518,323320,1,,single
1789153520,324160,85,,single
1789153521,333600,31,,single
1789153523,337340,10,,single
1789153524,345180,8,,single
1789153526,353330,1,,single
1789153527,362890,682,,single
1789153529,373770,4,,single
1789153530,384190,11,,single
1789153532,385800,15,,single
1789153533,409660,1,,single
1789153535,418370,1509,,single
1789153536,449040,2,,single
1789153538,477870,4,,single
1789153539,483980,28,,single
1789153541,501590,34,,single
1789153542,508550,0,,single
1789153544,526870,17576,,single
1789153545,544330,6,,single
1789153547,562360,18,,single
1789153548,568770,18,,single
1789153550,580200,12,,single
1789153551,583470,19,,single
1789153553,602700,2,,single
1789153554,642090,4,,single
1789153556,665370,11,,single
1789153558,691450,10,,single
1789153559,729660,0,,single
1789153561,745920,122,,single
1789153562,764790,70,,single
1789153564,802880,34,,single
1789153565,829280,6,,single
1789153566,869760,0,,single
1789153568,894940,14,,single
1789153569,899770,901,,single
1789153571,913740,23,,single
1789153572,924070,3,,single
1789153574,951440,45,,single
1789153575,969760,3,,single
1789153577,976730,3446,,single
1789153578,1001270,186,,single
1789153580,1018850,2,,single
1789153581,1047220,0,,single
1789153583,1067310,1,,single
1789153584,1079260,88,,single
1789153586,1083790,1,,single
1789153587,1092710,17,,single
1789153589,1116580,7,,single
1789153590,1140270,14,,single
1789153591,1158160,1880,,single
1789153593,1169040,1026,,single
1789153594,1172450,9,,single
1789153596,1213700,23,,single
1789153597,1230140,36,,single
1789153599,1240210,37,,single
1789153601,1245620,35044,,single
1789153602,1277400,180,,single
1789153604,1307550,132,,single
1789153605,1337010,18,,single
1789153607,1369340,6,,single
1789153608,1380420,25,,single
1789153610,1422380,0,,single
1789153611,1446780,4784,,single
1789153612,1488200,248,,single
1789153614,1518810,7,,single
1789153616,1566200,55,,single
1789153617,1597730,5,,single
1789153618,1614550,69,,single
1789153620,1654660,18,,single
1789153621,1665190,6,,single
1789153623,1730590,12,,single
1789153625,1763250,305,,single
1789153626,1808680,25,,single
1789153628,1866180,15,,single
1789153629,1919460,10,,single
1789153630,1928980,92,,single
1789153632,1945250,0,,single
1789153633,2001120,3104,,single
1789153635,2142790,11061,,single
1789153636,2240080,2,,single
1789153638,2250060,3,,single
1789153639,2262610,2,,single
