ts,appid,concurrent,peak_in_game,src
1790414310,3376990,14,,single
1790414311,2179170,2,,single
1790414313,1307580,114,,single
1790414314,1129190,105,,single
1790414315,1969080,11,,single
1790414317,1864950,11,,single
1790414318,1717770,0,,single
1790414320,2840190,2,,single
1790414321,3373660,290,,single
1790414323,2714620,4,,single
1790414324,620,1309,,single
1790414325,1118200,1728,,single
1790414327,400,371,,single
1790414328,3164500,7291,,single
1790414330,1145360,3708,,single
1790414331,374320,5561,,single
1790414332,2246340,37822,,single
1790414334,220,1330,,single
1790414335,3830,38,,single
1790414337,31270,2,,single
1790414338,200010,1,,single
1790414340,204030,32,,single
1790414341,208200,52,,single
1790414342,211420,88,,single
1790414344,219680,0,,single
1790414345,226740,1,,single
1790414346,236430,165,,single
1790414348,238960,6164,,single
1790414349,250600,1,,single
1790414351,261530,2,,single
1790414352,265210,5,,single
1790414353,274270,0,,single
1790414355,282140,67,,single
1790414356,303610,12,,single
1790414358,315810,13,,single
1790414359,323320,1,,single
1790414360,324160,99,,single
1790414362,333600,35,,single
1790414363,337340,13,,single
1790414365,345180,11,,single
1790414366,353330,1,,single
1790414368,362890,524,,single
1790414369,373770,4,,single
1790414371,384190,15,,single
1790414372,385800,19,,single
1790414373,409660,0,,single
1790414375,418370,1605,,single
1790414376,449040,0,,single
1790414378,477870,6,,single
1790414379,483980,18,,single
1790414381,501590,55,,single
1790414382,508550,2,,single
1790414383,526870,12271,,single
1790414385,544330,5,,single
1790414386,562360,296,,single
1790414388,568770,8,,single
1790414389,580200,13,,single
1790414391,583470,7,,single
1790414392,602700,4,,single
1790414394,642090,1,,single
1790414395,665370,5,,single
1790414396,691450,6,,single
1790414398,729660,1,,single
1790414399,745920,75,,single
1790414401,764790,26,,single
1790414402,802880,31,,single
1790414403,829280,5,,single
1790414405,862440,0,,single
1790414406,892970,109015,,single
1790414407,899440,92,,single
1790414409,910630,2,,single
1790414410,920320,2,,single
1790414413,951000,0,,single
1790414414,963000,0,,single
1790414415,973230,15,,single
1790414417,983870,176,,single
1790414418,1012570,1,,single
1790414420,1040420,6,,single
1790414421,1062520,801,,single
1790414423,1067850,9,,single
1790414425,1082710,29,,single
1790414426,1092700,5,,single
1790414427,1092720,16,,single
1790414429,1119840,4,,single
1790414430,1145350,3637,,single
1790414432,1159690,151,,single
1790414433,1171320,2,,single
1790414434,1177980,88,,single
1790414436,1218210,45,,single
1790414437,1237320,124,,single
1790414439,1245560,93,,single
1790414440,1272840,7,,single
1790414441,1280930,95,,single
1790414443,1321440,158,,single
1790414444,1364960,22,,single
1790414446,1374490,14234,,single
1790414447,1382070,114,,single
1790414448,1441550,7,,single
1790414450,1477790,0,,single
1790414451,1516240,0,,single
1790414453,1549550,1,,single
1790414454,1587560,2,,single
1790414455,1599020,18,,single
1790414457,1629520,433,,single
1790414458,1658150,83,,single
1790414460,1709880,10,,single
1790414461,1733060,1,,single
1790414462,1772830,31,,single
1790414464,1819460,3,,single
1790414465,1895350,11,,single
1790414467,1924360,4,,single
1790414468,1944570,8,,single
1790414469,1948280,376,,single
1790414471,2007530,2,,single
1790414472,2238040,7,,single
1790414473,2246880,18,,single
1790414475,2256450,6,,single
1790414476,2276930,157,,single
1790414478,2313240,0,,single
1790414479,2356500,0,,single
1790414481,2415010,100,,single
1790414483,2479320,4,,single
1790414484,2525380,74,,single
1790414486,2637990,7,,single
1790414487,2788520,34,,single
1790414488,3027930,62,,single
1790414490,3069810,16,,single
1790414491,3263320,35,,single
1790414492,10,6282,,single
1790414494,240,2048,,single
1790414495,550,17778,,single
1790414496,2310,123,,single
1790414498,3480,149,,single
1790414499,4000,22158,,single
1790414501,6910,58,,single
1790414502,13230,17,,single
1790414503,22320,248,,single
1790414505,22380,2004,,single
1790414506,32440,121,,single
1790414508,33100,30,,single
1790414509,40970,527,,single
1790414511,70400,12,,single
1790414512,105600,37723,,single
1790414514,205100,404,,single
1790414515,207610,121,,single
1790414516,219150,253,,single
1790414518,223470,398,,single
1790414519,230290,345,,single
1790414521,236090,3,,single
1790414522,239030,220,,single
1790414523,242680,110,,single
1790414525,246420,12350,,single
1790414526,250320,87,,single
1790414528,253230,100,,single
1790414529,261030,44,,single
1790414530,264710,2374,,single
1790414532,270880,7317,,single
1790414533,280220,146,,single
1790414534,288160,41,,single
1790414536,303590,4,,single
1790414537,312530,44,,single
1790414539,319630,258,,single
1790414540,341800,61,,single
1790414542,360740,19,,single
1790414543,367520,7091,,single
1790414544,407900,0,,single
1790414546,412830,251,,single
1790414547,418240,126,,single
1790414549,424280,10,,single
1790414550,427410,1980,,single
1790414552,433340,1013,,single
1790414553,434170,87,,single
1790414554,447530,40,,single
1790414556,457140,8757,,single
1790414557,466300,49,,single
1790414559,488860,181,,single
1790414560,508440,2076,,single
1790414561,519860,41,,single
1790414563,531510,51,,single
1790414564,548430,5587,,single
1790414566,557630,10,,single
1790414567,593280,30,,single
1790414568,597220,25,,single
1790414570,610370,168,,single
1790414572,615120,2,,single
1790414573,617670,12,,single
1790414574,646570,7956,,single
1790414576,667970,129,,single
1790414577,683320,68,,single
1790414579,736260,157,,single
1790414580,760890,10,,single
1790414582,774801,285,,single
1790414583,791470,27,,single
1790414584,805590,0,,single
1790414586,850190,431,,single
1790414587,858210,104,,single
1790414589,897330,356,,single
1790414590,909080,204,,single
1790414591,926990,244,,single
1790414593,990630,140,,single
1790414594,992740,0,,single
1790414595,1043340,9,,single
1790414597,1057090,8935,,single
1790414598,1070550,3,,single
1790414600,1082430,19,,single
1790414601,1092790,913,,single
1790414602,1102190,186,,single
1790414604,1109410,0,,single
1790414605,1115050,2,,single
1790414607,1127400,1018,,single
1790414608,1150690,336,,single
1790414609,1170880,4,,single
1790414611,1175140,2,,single
1790414612,1198320,6,,single
1790414614,1202540,29,,single
1790414615,1216200,9,,single
1790414617,1241700,1,,single
1790414618,1260520,29,,single
1790414620,1275670,27,,single
1790414621,1281800,68,,single
1790414622,1283130,2,,single
1790414624,1285670,9,,single
1790414625,1288310,43,,single
1790414627,1292940,133,,single
1790414628,1293860,1,,single
1790414629,1328840,60,,single
1790414631,1333910,18,,single
1790414632,1353230,35,,single
1790414634,1366540,4070,,single
1790414635,1388770,39,,single
1790414636,1407420,0,,single
1790414638,1419860,1,,single
1790414639,1424330,46,,single
1790414641,1444350,5,,single
1790414642,1473350,103,,single
1790414643,1507580,23,,single
1790414645,1511860,0,,single
1790414646,1532510,0,,single
1790414648,1536610,381,,single
1790414649,1545990,2,,single
1790414651,1562700,141,,single
1790414652,1566410,13,,single
1790414654,1585180,71,,single
1790414655,1609230,61,,single
1790414657,1634860,19,,single
1790414658,1644940,40,,single
1790414659,1669980,567,,single
1790414661,1677770,55,,single
1790414662,1684930,29,,single
1790414664,1708150,15,,single
1790414665,1715460,6,,single
1790414667,1718910,1,,single
1790414668,1734320,9,,single
1790414669,1765350,4,,single
1790414671,1796580,0,,single
1790414672,1817000,4,,single
1790414674,1836730,37,,single
1790414675,1876590,10,,single
1790414677,1898500,10,,single
1790414678,1903340,5065,,single
1790414679,1931020,3,,single
1790414681,1935660,1,,single
1790414682,1955830,181,,single
1790414684,1967430,111,,single
1790414685,1986840,9,,single
1790414687,1999360,88,,single
1790414688,2011780,5,,single
1790414689,2056220,31,,single
1790414691,2060590,11,,single
1790414692,2088570,104,,single
1790414694,2097570,33,,single
1790414695,2112520,0,,single
1790414696,2128270,33,,single
1790414698,2135690,1,,single
1790414699,2162800,1000,,single
1790414701,2179850,35,,single
1790414702,2218750,226,,single
1790414704,2291760,75,,single
1790414705,2305840,61,,single
1790414707,2358720,18402,,single
1790414708,2369900,156,,single
1790414709,2379780,5867,,single
1790414711,2394650,27,,single
1790414712,2420510,418,,single
1790414714,2443360,3,,single
1790414715,2501600,38,,single
1790414717,2532550,3,,single
1790414718,2585830,4,,single
1790414719,2612680,4,,single
1790414721,2660460,151,,single
1790414724,2667430,1,,single
1790414725,2703850,76,,single
1790414727,2719060,4,,single
1790414728,2763670,9,,single
1790414730,2835570,994,,single
1790414731,2878710,0,,single
1790414733,2883280,1,,single
1790414734,2929730,2,,single
1790414735,3068300,71,,single
1790414737,3084280,18,,single
1790414738,3108510,92,,single
1790414740,3191030,81,,single
1790414741,3195790,1449,,single
1790414742,3247500,1,,single
1790414744,3361470,9,,single
1790414745,20,20,,single
1790414747,50,76,,single
1790414748,80,300,,single
1790414749,130,42,,single
1790414751,300,174,,single
1790414752,340,2,,single
1790414754,440,61733,,single
1790414755,730,874748,,single
1790414756,1250,168,,single
1790414758,1510,1,,single
1790414759,1630,38,,single
1790414761,1700,13,,single
1790414762,2100,53,,single
1790414763,2200,15,,single
1790414765,2300,5,,single
1790414766,2390,1,,single
1790414768,2610,2,,single
1790414769,2630,169,,single
1790414770,2820,46,,single
1790414772,3020,4,,single
1790414773,3320,58,,single
1790414775,3390,29,,single
1790414776,3620,216,,single
1790414777,3720,13,,single
1790414779,3910,1279,,single
1790414780,4500,172,,single
1790414782,4570,50,,single
1790414783,4760,669,,single
1790414784,6000,18,,single
1790414786,6020,55,,single
1790414787,6060,113,,single
1790414788,6220,20,,single
1790414790,6550,0,,single
1790414791,6810,21,,single
1790414793,6860,135,,single
1790414794,6980,6,,single
1790414796,7200,63,,single
1790414797,7620,89,,single
1790414798,7760,30,,single
1790414800,7830,19,,single
1790414801,7940,191,,single
1790414803,8080,0,,single
1790414804,8170,6,,single
1790414805,8400,3,,single
1790414807,8800,1359,,single
1790414808,8870,261,,single
1790414810,8980,90,,single
1790414811,9050,17,,single
1790414812,9310,19,,single
1790414814,9350,54,,single
1790414815,9880,65,,single
1790414817,10090,254,,single
1790414818,10150,113,,single
1790414819,10190,178,,single
1790414821,10680,66,,single
1790414822,11390,2,,single
1790414824,12100,27,,single
1790414825,12120,344,,single
1790414826,12200,222,,single
1790414828,12320,41,,single
1790414829,12500,9,,single
1790414831,12810,32,,single
1790414832,13210,14,,single
1790414834,13500,48,,single
1790414835,13570,42,,single
1790414836,15080,10,,single
1790414838,15130,0,,single
1790414839,15210,48,,single
1790414840,15320,16,,single
1790414842,15620,153,,single
1790414843,16730,2,,single
1790414845,16900,167,,single
1790414846,17410,41,,single
1790414847,17450,9,,single
1790414849,17470,63,,single
1790414850,17500,18,,single
1790414852,17580,1,,single
1790414853,18500,38,,single
1790414854,20500,8,,single
1790414856,20540,53,,single
1790414857,20820,0,,single
1790414858,21090,46,,single
1790414860,21130,76,,single
1790414861,21970,170,,single
1790414863,22000,15,,single
1790414864,22200,0,,single
1790414865,22340,0,,single
1790414867,23490,11,,single
1790414868,24200,344,,single
1790414869,24420,1,,single
1790414871,24740,18,,single
1790414872,24790,409,,single
1790414874,24960,27,,single
1790414875,25000,19,,single
1790414876,25830,35,,single
1790414878,25900,182,,single
1790414879,26900,2,,single
1790414881,31280,2,,single
1790414882,32330,28,,single
1790414884,32370,172,,single
1790414885,32400,1,,single
1790414886,32450,11,,single
1790414888,32510,53,,single
1790414889,33120,36,,single
1790414890,33320,34,,single
1790414892,33900,2,,single
