ts,appid,concurrent,peak_in_game,src
1790192122,3376990,16,,single
1790192123,2179170,7,,single
1790192124,1307580,76,,single
1790192126,1129190,113,,single
1790192127,1969080,15,,single
1790192129,1864950,22,,single
1790192130,1717770,7,,single
1790192132,2840190,3,,single
1790192133,3373660,493,,single
1790192135,2714620,8,,single
1790192136,620,1696,,single
1790192137,1118200,1779,,single
1790192139,400,455,,single
1790192140,3164500,12561,,single
1790192142,1145360,2637,,single
1790192143,374320,3525,,single
1790192144,2246340,22532,,single
1790192146,220,1546,,single
1790192147,3830,60,,single
1790192148,31270,7,,single
1790192150,200010,4,,single
1790192151,204030,45,,single
1790192153,208200,68,,single
1790192154,211420,152,,single
1790192156,219680,0,,single
1790192157,226740,0,,single
1790192158,236430,202,,single
1790192160,238960,8113,,single
1790192161,250600,1,,single
1790192162,261530,4,,single
1790192164,265210,10,,single
1790192165,274270,1,,single
1790192167,282140,113,,single
1790192168,303610,6,,single
1790192169,315810,5,,single
1790192171,323470,112,,single
1790192173,331870,8,,single
1790192174,335300,3713,,single
1790192176,339190,4,,single
1790192177,351970,17,,single
1790192179,359510,17,,single
1790192180,367500,561,,single
1790192181,377330,0,,single
1790192183,385240,0,,single
1790192184,399810,39,,single
1790192186,418030,652,,single
1790192187,430960,2,,single
1790192189,467380,1,,single
1790192190,480490,338,,single
1790192191,487430,1,,single
1790192193,506870,2,,single
1790192194,524910,7,,single
1790192196,527430,136,,single
1790192197,550010,11,,single
1790192199,563840,2,,single
1790192200,570940,2389,,single
1790192201,582010,9518,,single
1790192203,593150,7,,single
1790192204,635940,21,,single
1790192206,654880,5,,single
1790192207,674140,54,,single
1790192208,711660,12,,single
1790192210,736570,4,,single
1790192211,751780,631,,single
1790192213,768200,214,,single
1790192214,814370,114,,single
1790192215,851850,428,,single
1790192217,869760,0,,single
1790192218,894940,22,,single
1790192219,899770,1044,,single
1790192221,913740,14,,single
1790192222,924070,0,,single
1790192223,951440,43,,single
1790192225,969760,3,,single
1790192226,976730,2967,,single
1790192228,1001270,162,,single
1790192230,1018850,3,,single
1790192231,1047220,3,,single
1790192232,1067310,1,,single
1790192234,1079260,75,,single
1790192236,1083790,3,,single
1790192237,1092710,17,,single
1790192238,1116580,7,,single
1790192240,1140270,16,,single
1790192241,1158160,1837,,single
1790192242,1169040,1053,,single
1790192244,1172450,21,,single
1790192245,1213700,17,,single
1790192247,1230140,22,,single
1790192248,1240210,39,,single
1790192249,1245620,27438,,single
1790192251,1277400,155,,single
1790192252,1307550,85,,single
1790192254,1337010,24,,single
1790192255,1369340,4,,single
1790192256,1380420,21,,single
1790192258,1422380,2,,single
1790192259,1446780,4364,,single
1790192261,1488200,152,,single
1790192262,1518810,3,,single
1790192264,1566200,57,,single
1790192265,1597730,1,,single
1790192267,1614550,65,,single
1790192268,1654660,10,,single
1790192270,1665190,9,,single
1790192271,1730590,8,,single
1790192273,1763250,260,,single
1790192274,1808680,40,,single
1790192276,1866180,7,,single
1790192277,1919460,7,,single
1790192278,1928980,44,,single
1790192280,1945250,0,,single
1790192282,2001120,2894,,single
1790192283,2142790,7562,,single
1790192285,2240080,2,,single
1790192286,2250060,4,,single
1790192288,2262610,2,,single
1790192290,2294130,10,,single
1790192291,2354600,3,,single
1790192293,2356560,180,,single
1790192294,2450700,18,,single
1790192296,2484130,7,,single
1790192297,2567870,1582,,single
1790192299,2754380,164,,single
1790192301,2877540,5,,single
1790192303,3069120,25,,single
1790192306,3087650,4,,single
1790192307,3290710,5,,single
