ts,appid,concurrent,peak_in_game,src
1789673943,3376990,5,,single
1789673944,2179170,5,,single
1789673946,1307580,26,,single
1789673947,1129190,129,,single
1789673949,1969080,39,,single
1789673950,1864950,30,,single
1789673951,1717770,2,,single
1789673953,2840190,5,,single
1789673954,3373660,466,,single
1789673956,2714620,7,,single
1789673957,620,1893,,single
1789673959,1118200,4181,,single
1789673960,400,521,,single
1789673962,3164500,9644,,single
1789673964,1145360,2833,,single
1789673965,374320,3610,,single
1789673966,2246340,21671,,single
1789673968,220,1726,,single
1789673969,3830,70,,single
1789673971,31270,6,,single
1789673972,200010,3,,single
1789673974,204030,41,,single
1789673975,208200,75,,single
1789673977,211420,172,,single
1789673978,219680,0,,single
1789673980,226740,0,,single
1789673981,236430,191,,single
1789673983,238960,9039,,single
1789673984,250600,1,,single
1789673986,261530,3,,single
1789673987,265210,2,,single
1789673989,274270,0,,single
1789673990,282140,122,,single
1789673992,303610,21,,single
1789673993,315810,5,,single
1789673994,323470,114,,single
1789673996,331870,0,,single
1789673997,335300,1635,,single
1789673999,339190,6,,single
1789674000,351970,24,,single
1789674002,359510,26,,single
1789674003,367500,569,,single
1789674004,377330,0,,single
1789674006,385240,1,,single
1789674008,399810,53,,single
1789674009,418030,598,,single
1789674011,430960,2,,single
1789674012,467380,1,,single
1789674014,480490,341,,single
1789674015,487430,1,,single
1789674017,506870,0,,single
1789674018,524910,14,,single
1789674020,527430,167,,single
1789674021,550010,6,,single
1789674023,563840,1,,single
1789674024,570940,2294,,single
1789674026,582010,9310,,single
1789674027,593150,14,,single
1789674029,635940,22,,single
1789674030,654880,15,,single
1789674031,674140,63,,single
1789674033,711660,14,,single
1789674035,736570,8,,single
1789674036,751780,535,,single
1789674038,768200,255,,single
1789674039,814370,122,,single
1789674040,851850,366,,single
1789674042,892970,214351,,single
1789674043,899440,80,,single
1789674045,910630,0,,single
1789674047,920320,1,,single
1789674048,951000,0,,single
1789674050,963000,1,,single
1789674051,973230,32,,single
1789674053,983870,240,,single
1789674054,1012570,0,,single
1789674056,1040420,8,,single
1789674058,1062520,585,,single
1789674060,1067850,19,,single
1789674062,1082710,56,,single
1789674063,1092700,10,,single
1789674065,1092720,20,,single
1789674066,1119840,2,,single
1789674068,1145350,3582,,single
1789674069,1159690,322,,single
1789674071,1171320,0,,single
1789674072,1177980,69,,single
1789674074,1218210,101,,single
1789674076,1237320,200,,single
1789674077,1245560,114,,single
1789674079,1272840,9,,single
1789674080,1280930,56,,single
1789674082,1321440,194,,single
1789674083,1364960,11,,single
1789674085,1374490,19937,,single
1789674086,1382070,150,,single
1789674088,1441550,4,,single
1789674089,1477790,1,,single
1789674091,1516240,0,,single
1789674092,1549550,4,,single
1789674094,1587560,1,,single
1789674095,1599020,29,,single
1789674097,1629520,462,,single
1789674098,1658150,137,,single
1789674100,1709880,20,,single
1789674101,1733060,1,,single
1789674103,1772830,25,,single
