ts,appid,concurrent,peak_in_game,src
1788958505,3376990,3,,single
1788958506,2179170,6,,single
1788958508,1307580,42,,single
1788958509,1129190,111,,single
1788958511,1969080,4,,single
1788958512,1864950,32,,single
1788958514,1717770,1,,single
1788958515,2840190,0,,single
1788958516,3373660,216,,single
1788958518,2714620,1,,single
1788958519,620,1325,,single
1788958521,1118200,3193,,single
1788958522,400,408,,single
1788958523,3164500,5830,,single
1788958525,1145360,2958,,single
1788958526,374320,3922,,single
1788958527,2246340,31899,,single
1788958529,220,1331,,single
1788958530,3830,38,,single
1788958532,31270,2,,single
1788958533,200010,1,,single
1788958535,204030,32,,single
1788958536,208200,50,,single
1788958537,211420,98,,single
1788958539,219680,0,,single
1788958540,226740,0,,single
1788958542,236430,151,,single
1788958543,238960,8619,,single
1788958544,250600,4,,single
1788958546,261530,0,,single
1788958547,265210,4,,single
1788958549,274270,0,,single
1788958550,282140,127,,single
1788958552,303610,29,,single
1788958553,315810,14,,single
1788958554,323470,43,,single
1788958556,331870,0,,single
1788958557,335300,1355,,single
1788958558,339190,13,,single
1788958560,351970,25,,single
1788958561,359510,36,,single
1788958563,367500,455,,single
1788958564,377330,0,,single
1788958566,385240,1,,single
1788958567,399810,37,,single
1788958568,418030,208,,single
1788958570,430960,4,,single
1788958571,467380,3,,single
1788958573,480490,266,,single
1788958574,487430,4,,single
1788958575,506870,0,,single
1788958577,524910,9,,single
1788958578,527430,124,,single
1788958580,550010,3,,single
1788958581,563840,2,,single
1788958582,570940,1917,,single
1788958584,582010,21394,,single
1788958585,593150,5,,single
1788958586,635940,53,,single
1788958588,654880,4,,single
1788958589,674140,48,,single
1788958591,711660,26,,single
1788958593,736570,3,,single
1788958594,751780,227,,single
1788958595,768200,392,,single
1788958597,814370,71,,single
1788958598,851850,409,,single
1788958599,892970,17063,,single
1788958601,899440,163,,single
1788958602,910630,0,,single
1788958604,920320,2,,single
1788958605,951000,1,,single
1788958607,963000,1,,single
1788958608,973230,32,,single
1788958609,983870,214,,single
1788958611,1012570,2,,single
1788958612,1040420,5,,single
1788958614,1062520,1086,,single
1788958615,1067850,14,,single
1788958616,1082710,25,,single
1788958618,1092700,10,,single
1788958619,1092720,12,,single
1788958620,1119840,3,,single
1788958622,1145350,3561,,single
1788958623,1159690,256,,single
1788958625,1171320,0,,single
1788958626,1177980,71,,single
1788958627,1218210,90,,single
1788958629,1237320,144,,single
1788958630,1245560,130,,single
1788958632,1272840,8,,single
1788958633,1280930,146,,single
1788958634,1321440,95,,single
1788958636,1364960,22,,single
1788958637,1374490,2210,,single
1788958639,1382070,38,,single
1788958640,1446780,10258,,single
1788958641,1488200,419,,single
1788958643,1518810,6,,single
1788958644,1566200,26,,single
1788958646,1597730,9,,single
1788958647,1614550,63,,single
1788958648,1654660,11,,single
1788958650,1665190,4,,single
1788958651,1730590,3,,single
1788958653,1763250,173,,single
1788958654,1808680,20,,single
1788958656,1866180,4,,single
1788958657,1919460,16,,single
1788958658,1928980,65,,single
1788958660,1945250,1,,single
1788958661,2001120,5507,,single
1788958662,2142790,7327,,single
1788958664,2240080,3,,single
1788958665,2250060,2,,single
1788958667,2262610,1,,single
1788958669,2294130,6,,single
1788958670,2354600,0,,single
1788958672,2356560,145,,single
1788958673,2450700,12,,single
1788958675,2484130,9,,single
1788958676,2567870,4697,,single
1788958677,2754380,297,,single
1788958679,2877540,14,,single
1788958680,3069120,72,,single
1788958682,3087650,1,,single
1788958683,3290710,2,,single
1788958684,70,562,,single
1788958686,500,348,,single
1788958687,2280,175,,single
1788958689,2600,65,,single
1788958690,3590,3476,,single
1788958692,4580,134,,single
1788958693,9420,532,,single
1788958694,13240,13,,single
1788958696,22330,326,,single
1788958697,22490,375,,single
1788958699,32470,1047,,single
1788958700,35140,452,,single
1788958701,48700,4132,,single
1788958703,72850,1131,,single
1788958704,107100,10,,single
1788958706,206190,4,,single
1788958707,214560,1,,single
1788958708,219740,2071,,single
1788958710,227300,29806,,single
1788958711,233860,4912,,single
1788958713,238460,193,,single
1788958714,239140,3702,,single
1788958716,242760,5774,,single
1788958717,246840,24,,single
1788958718,250900,71401,,single
1788958720,260750,14,,single
1788958721,264200,8,,single
1788958722,268910,1767,,single
1788958724,274190,251,,single
1788958725,284160,17367,,single
1788958727,294100,28458,,single
1788958728,304430,93,,single
1788958730,312990,11,,single
1788958732,337320,244,,single
1788958733,351640,2,,single
1788958734,362680,82,,single
1788958737,397740,8,,single
1788958739,411960,6,,single
1788958740,413410,396,,single
1788958742,420530,74,,single
