ts,appid,concurrent,peak_in_game,src
1789770635,3376990,11,,single
1789770637,2179170,3,,single
1789770638,1307580,41,,single
1789770640,1129190,131,,single
1789770641,1969080,23,,single
1789770643,1864950,29,,single
1789770644,1717770,2,,single
1789770646,2840190,3,,single
1789770647,3373660,567,,single
1789770648,2714620,6,,single
1789770650,620,1591,,single
1789770651,1118200,3952,,single
1789770653,400,474,,single
1789770654,3164500,9312,,single
1789770655,1145360,2532,,single
1789770657,374320,3267,,single
1789770658,2246340,20997,,single
1789770660,220,1339,,single
1789770661,3830,64,,single
1789770662,31270,3,,single
1789770664,200010,2,,single
1789770666,204030,35,,single
1789770667,208200,50,,single
1789770669,211420,145,,single
1789770671,219680,1,,single
1789770672,226740,0,,single
1789770674,236430,189,,single
1789770675,238960,7190,,single
1789770677,250600,0,,single
1789770679,261530,3,,single
1789770681,265210,6,,single
1789770682,274270,3,,single
1789770684,282140,119,,single
1789770685,303610,9,,single
1789770687,315810,3,,single
1789770689,323470,139,,single
1789770690,331870,3,,single
1789770692,335300,1489,,single
1789770693,339190,2,,single
1789770695,351970,19,,single
1789770696,359510,22,,single
1789770698,367500,534,,single
1789770699,377330,0,,single
1789770701,385240,2,,single
1789770702,399810,33,,single
1789770704,418030,599,,single
1789770705,430960,1,,single
1789770707,467380,2,,single
1789770708,480490,283,,single
1789770710,487430,0,,single
1789770712,506870,1,,single
1789770714,524910,6,,single
1789770715,527430,115,,single
1789770717,550010,6,,single
1789770718,563840,2,,single
1789770720,570940,2258,,single
1789770721,582010,8139,,single
1789770722,593150,9,,single
1789770724,635940,15,,single
1789770725,654880,13,,single
1789770727,674140,77,,single
1789770728,711660,7,,single
1789770730,736570,3,,single
1789770731,751780,544,,single
1789770733,768200,197,,single
1789770734,814370,100,,single
1789770736,851850,346,,single
1789770737,869760,0,,single
1789770739,894940,23,,single
1789770740,899770,610,,single
1789770742,913740,14,,single
1789770743,924070,2,,single
1789770745,951440,37,,single
1789770746,969760,0,,single
1789770747,976730,3668,,single
1789770749,1001270,88,,single
1789770750,1018850,4,,single
1789770752,1047220,1,,single
1789770754,1067310,1,,single
1789770755,1079260,50,,single
1789770757,1083790,3,,single
1789770758,1092710,18,,single
1789770760,1116580,5,,single
1789770761,1140270,10,,single
1789770763,1158160,1620,,single
1789770764,1169040,935,,single
1789770767,1172450,11,,single
1789770768,1213700,10,,single
1789770770,1230140,25,,single
1789770771,1240210,23,,single
1789770773,1245620,28430,,single
1789770774,1277400,161,,single
1789770776,1307550,79,,single
1789770777,1337010,10,,single
1789770779,1369340,6,,single
1789770780,1380420,21,,single
1789770782,1422380,0,,single
1789770783,1446780,4048,,single
1789770785,1488200,160,,single
1789770786,1518810,3,,single
1789770788,1566200,62,,single
1789770789,1597730,2,,single
1789770791,1614550,62,,single
1789770792,1654660,13,,single
1789770794,1665190,9,,single
1789770795,1730590,7,,single
1789770796,1763250,250,,single
1789770798,1808680,7,,single
1789770799,1866180,4,,single
1789770801,1919460,9,,single
1789770803,1928980,50,,single
1789770804,1945250,0,,single
1789770806,2001120,2093,,single
1789770807,2142790,8800,,single
1789770809,2240080,3,,single
1789770810,2250060,3,,single
1789770812,2262610,2,,single
1789770813,2294130,14,,single
1789770815,2354600,2,,single
1789770817,2356560,227,,single
1789770819,2450700,16,,single
1789770820,2484130,8,,single
1789770822,2567870,1473,,single
1789770823,2754380,164,,single
1789770825,2877540,4,,single
1789770826,3069120,13,,single
1789770828,3087650,7,,single
1789770829,3290710,6,,single
1789770831,70,738,,single
1789770832,500,465,,single
1789770833,2280,263,,single
1789770835,2600,85,,single
1789770836,3590,1429,,single
1789770838,4580,201,,single
1789770839,9420,776,,single
1789770841,13240,18,,single
1789770842,22330,444,,single
1789770844,22490,270,,single
1789770845,32470,1590,,single
1789770847,35140,578,,single
1789770848,48700,1954,,single
1789770850,72850,1257,,single
1789770851,107100,28,,single
