ts,appid,concurrent,peak_in_game,src
1789057184,2070550,2,,single
1789057186,1055540,34,,single
1789057187,1586800,6,,single
1789057189,1740300,2,,single
1789057190,1567800,13,,single
1789057192,2073910,35,,single
1789057193,2869860,10,,single
1789057195,2124380,1,,single
1789057196,1405500,8,,single
1789057198,623080,2,,single
1789057199,1089980,101,,single
1789057201,413150,53502,,single
1789057202,1794680,5334,,single
1789057204,2231450,253,,single
1789057205,546560,231,,single
1789057206,2694490,90009,,single
1789057208,1623730,97032,,single
1789057209,420,48,,single
1789057211,15710,4,,single
1789057212,40800,95,,single
1789057214,200710,209,,single
1789057215,207690,7,,single
1789057217,209370,0,,single
1789057218,214490,299,,single
1789057220,219990,7859,,single
1789057221,227000,0,,single
1789057223,237740,0,,single
1789057224,239430,0,,single
1789057226,251270,3,,single
1789057229,264380,18,,single
1789057230,265610,16,,single
1789057232,274520,121,,single
1789057233,301860,2,,single
1789057237,310360,63,,single
1789057238,323320,7,,single
1789057240,324160,134,,single
1789057241,333600,28,,single
1789057243,337340,8,,single
1789057244,345180,6,,single
1789057245,353330,1,,single
1789057247,362890,590,,single
1789057248,373770,5,,single
1789057250,384190,13,,single
1789057251,385800,15,,single
1789057253,409660,0,,single
1789057254,418370,1470,,single
1789057256,449040,2,,single
1789057257,477870,6,,single
1789057259,483980,19,,single
1789057260,501590,25,,single
1789057261,508550,0,,single
1789057263,526870,14993,,single
1789057265,544330,5,,single
1789057266,562360,8,,single
1789057268,568770,9,,single
1789057269,580200,16,,single
1789057271,583470,17,,single
1789057272,602700,7,,single
1789057274,642090,2,,single
1789057275,665370,4,,single
1789057277,691450,6,,single
1789057278,729660,2,,single
1789057280,745920,121,,single
1789057281,764790,55,,single
1789057283,802880,38,,single
1789057284,829280,5,,single
1789057285,869760,0,,single
1789057287,894940,13,,single
1789057288,899770,866,,single
1789057290,913740,24,,single
1789057291,924070,0,,single
1789057293,951440,42,,single
1789057294,969760,3,,single
1789057296,976730,2401,,single
1789057298,1001270,120,,single
1789057299,1018850,1,,single
1789057300,1047220,1,,single
1789057302,1067310,1,,single
1789057303,1079260,71,,single
1789057305,1083790,1,,single
1789057306,1092710,16,,single
1789057307,1116580,19,,single
1789057309,1140270,7,,single
1789057310,1158160,1662,,single
1789057311,1169040,987,,single
1789057313,1172450,10,,single
1789057314,1213700,22,,single
1789057316,1230140,77,,single
1789057317,1240210,33,,single
1789057318,1245620,35596,,single
1789057320,1277400,184,,single
1789057321,1307550,149,,single
1789057323,1337010,18,,single
1789057324,1369340,12,,single
1789057325,1380420,13,,single
1789057327,1441550,5,,single
1789057328,1477790,0,,single
1789057330,1516240,0,,single
1789057331,1549550,1,,single
1789057332,1587560,2,,single
1789057334,1599020,12,,single
1789057335,1629520,276,,single
1789057337,1658150,169,,single
1789057338,1709880,22,,single
1789057340,1733060,1,,single
1789057341,1772830,12,,single
1789057343,1819460,5,,single
1789057344,1895350,14,,single
1789057345,1924360,13,,single
1789057347,1944570,14,,single
1789057348,1948280,379,,single
1789057349,2007530,3,,single
1789057351,2238040,7,,single
1789057352,2246880,23,,single
1789057354,2256450,2,,single
1789057355,2276930,255,,single
1789057356,2313240,1,,single
1789057358,2356500,0,,single
1789057359,2415010,173,,single
1789057361,2479320,4,,single
1789057362,2525380,90,,single
1789057364,2637990,10,,single
1789057365,2788520,112,,single
1789057366,3027930,26,,single
1789057368,3069810,60,,single
1789057369,3263320,57,,single
1789057371,10,10673,,single
1789057372,240,3037,,single
1789057373,550,20061,,single
1789057375,2310,246,,single
1789057376,3480,196,,single
1789057378,4000,26041,,single
1789057379,6910,47,,single
1789057380,13230,18,,single
1789057382,22320,367,,single
1789057383,22380,2906,,single
1789057384,32440,143,,single
1789057386,33100,22,,single
1789057387,40970,664,,single
1789057389,70400,14,,single
1789057390,105600,44058,,single
1789057391,205100,576,,single
1789057393,207610,195,,single
1789057394,219150,328,,single
1789057395,223470,523,,single
1789057397,230290,307,,single
1789057398,236090,4,,single
1789057400,239030,343,,single
1789057401,242680,156,,single
1789057403,246420,278,,single
1789057404,250320,88,,single
1789057405,253230,116,,single
1789057407,261030,74,,single
1789057408,264710,3282,,single
1789057409,270880,5592,,single
1789057411,280220,180,,single
1789057412,288160,34,,single
1789057414,303590,0,,single
1789057415,312530,84,,single
1789057417,319630,411,,single
1789057418,341800,111,,single
1789057420,360740,13,,single
1789057421,367520,7587,,single
1789057422,407900,0,,single
1789057424,412830,246,,single
1789057425,418240,186,,single
1789057427,424280,9,,single
1789057428,427410,2900,,single
1789057429,433340,1392,,single
1789057431,434170,49,,single
1789057432,447530,57,,single
1789057434,457140,7487,,single
1789057435,466300,59,,single
1789057436,488860,128,,single
1789057438,508440,1671,,single
1789057439,519860,31,,single
1789057441,531510,83,,single
1789057442,548430,5142,,single
1789057443,557630,8,,single
